"","X","PLOT_ID","Hoja_arboles.x","INVENTORY_ID_IFN2","Anho.x","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_dominante_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez.x","Esbeltez_dominante.x","SDI_IFN2","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_desenrollo.x","V_chapa.x","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_postes.x","V_estacas.x","V_trituracion_IFN2","WSW_IFN2","WTHICKB_IFN2","WB2_7_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","Hoja_arboles.y","INVENTORY_ID_IFN3","Anho.y","T_IFN3","N_IFN3","N_muerto_IFN3.x","N_incorporado_IFN3.x","G_IFN3","G_muerta_IFN3.x","G_incorporada_IFN3.x","dg_IFN3","Do_IFN3","Seccion_dominante_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez.y","Esbeltez_dominante.y","SDI_IFN3","Hart_IFN3","Hart_tresbolillo_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_muerto_IFN3.x","V_incorporado_IFN3.x","V_desenrollo.y","V_chapa.y","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_postes.y","V_estacas.y","V_trituracion_IFN3","WSW_IFN3","WTHICKB_IFN3","WB2_7_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","WT_muerta_IFN3.x","WT_incorporada_IFN3.x","G_incorporada_IFN3.y","N_incorporado_IFN3.y","V_incorporado_IFN3.y","WT_incorporada_IFN3.y","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3.y","N_muerto_IFN3.y","V_muerto_IFN3.y","WT_muerta_IFN3.y"
"110",110,"9_1688","Nodo 3 - Pies inventariados","IFN2",10,34,293.77,1.06,103.85,10.19,0,3.52,21.01,23.34,428,7.29,4.18,4.21,0.41,29.84,31.25,216.71,79.98,85.95,6,28.92,27.13,1.79,0.01,10.27,0,0,0,0,11.96,0,9.32,25.7,12.89,0,7.02,15.16,16.86,51.93,0.02,13.84,"Nodo 1 - Pies inventariados","IFN3",2003,35,265.26,0,0,5.38,NA,NA,16.08,20.62,340.28,6.89,4.06,4.09,0.18,41.45,33.44,122.49,89.07,95.71,6.86,13.49,12.53,0.95,NA,NA,0,0,0,0,3.49,0,5.86,12,5.96,0,2.72,5.86,7.23,21.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",111,"9_1735","Nodo 3 - Pies inventariados","IFN2",10,30,578.44,2.9,135.7,10.44,0,2.2,15.16,18.32,264.15,4.67,3.13,3.15,0.45,28.87,25.47,240.97,89.1,95.75,4.08,20.88,18.92,1.96,0,4.36,0,0,0,0,0,0,12.19,17.22,8.99,0,7.89,22.11,17.28,56.26,0.02,8.5,"Nodo 1 - Pies inventariados","IFN3",2003,31,159.15,0,0,3.3,NA,NA,16.24,17.42,241.47,5.85,3.39,3.43,0.15,36.79,33.6,74.82,135.43,145.52,5.94,8.88,8.03,0.85,NA,NA,0,0,0,0,0,0,5.66,7.57,3.81,0,2.06,5.13,5.46,16.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",112,"9_1810","Nodo 3 - Pies inventariados","IFN2",10,29,428.68,2.1,91.24,20.58,0,4.29,24.72,30.28,723.46,9.8,4.46,4.52,0.69,37.2,32.36,420.42,49.28,52.96,8.79,83.08,78.75,4.33,0.02,17.13,0,0,0,3.52,46.35,8.99,17.26,76.02,37.42,0,11.66,20.62,34.06,103.77,0.02,17.24,"Nodo 1 - Pies inventariados","IFN3",2003,30,304.16,0,0,14.16,NA,NA,24.35,29.94,708.62,11.65,4.31,4.39,0.46,46.5,38.9,290.37,49.24,52.91,11.52,70.48,66.12,4.36,NA,NA,0,0,0,5.01,35.69,22.55,15.58,65.69,31.42,0,6.67,11.19,23.44,72.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",113,"9_1884","Nodo 3 - Pies inventariados","IFN2",10,40,610.75,4.09,116.16,27.47,0,5.21,23.93,31.92,802.83,12.46,4.01,4.09,0.8,48.02,39.03,565.72,32.48,34.9,10.58,140.12,131.1,9.02,0.03,26.35,0,0,0,13.7,73.47,59.48,33.65,130.44,62.29,0,12.58,21.2,45.46,141.53,0.03,21.35,"Nodo 1 - Pies inventariados","IFN3",2003,41,1266.17,0,0,27.53,NA,NA,16.64,31.22,774.88,12.85,3.92,4.03,0.5,34.25,41.16,620.93,21.87,23.5,12.2,96.49,90.04,6.44,NA,NA,0,0,0,12.58,47.03,37.22,24.99,90.29,42.78,0,7.56,12.35,28.94,91.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23367958,541.11,0,NA
"114",114,"9_1959","Nodo 3 - Pies inventariados","IFN2",10,35,637.47,3.17,120.73,24.21,0,5.21,21.99,28.06,618.57,8.83,3.95,3.99,0.8,41.49,31.48,509.33,44.84,48.18,7.85,97.09,90.2,6.89,0.02,19.64,0,0,0,0,44.83,0,30.63,88.69,42.86,0,12.83,24.29,40.08,120.05,0.02,20.82,"Nodo 1 - Pies inventariados","IFN3",2003,36,519.91,0,0,18.14,NA,NA,21.08,24.92,495.03,11.12,3.74,3.77,0.58,52.2,44.62,385.63,39.45,42.39,11.15,92.19,84.34,7.85,NA,NA,0,0,0,0,43.56,9.2,32.27,85.52,40.07,0,9.44,22.92,30.02,102.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58904598,31.83,0.1801578,13.1757102
"115",115,"9_218","Nodo 3 - Pies inventariados","IFN2",10,43,1562.09,15.63,170.09,48.67,0,5.92,19.92,28.27,629.68,9.37,3.48,3.56,1.56,35.65,33.13,1049.38,27.02,29.03,7.97,158.82,147.79,11.03,0.02,20.13,0,0,0,0,55.91,0,59.25,141.57,70.22,0,29.51,62.24,80.55,242.52,0.02,23.93,"Nodo 1 - Pies inventariados","IFN3",2003,44,477.46,0,0,16.86,NA,NA,21.2,27.33,589.3,10.91,3.81,3.87,0.56,45.87,39.92,357.88,41.95,45.08,11.14,75.18,69.53,5.65,NA,NA,0,0,0,0,34.81,17.92,24.86,69.07,33.03,0,8.1,15.35,27.9,84.39,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"116",116,"9_2337","Nodo 3 - Pies inventariados","IFN2",10,41,2978.45,125.52,182.58,82.09,0,6.31,18.73,30.82,748.07,15.73,2.59,2.71,1.71,77.24,51.04,1797.42,11.65,12.52,13.5,539.04,483.8,55.25,0.05,40.45,0,0,0,11.42,213.16,145.39,239.96,504.53,229.87,0,26.81,47.31,135.87,439.86,0.05,26.86,"Nodo 1 - Pies inventariados","IFN3",2003,42,1152.99,0,0,40.73,NA,NA,21.21,30.89,752.1,17.73,3.09,3.17,0.91,78.26,57.41,864.54,16.61,17.85,17.78,310.64,281.3,29.34,NA,NA,0,0,0,16.98,152.14,103.9,108.7,293.31,133.66,0,13.07,23.33,67.41,237.46,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.39688827,31.83,0.1992558,5.44293
"117",117,"9_2346","Nodo 3 - Pies inventariados","IFN2",10,24,313.92,2.41,0,35.9,0,0,38.16,42.76,1438.57,21.18,5.24,5.3,0.69,55.92,49.54,658.04,26.64,28.63,19.2,322.37,313.65,8.72,0.08,0,2.49,2.49,2.16,205.44,107.62,95.75,11.21,308.26,149.03,1.03,13.23,15.02,59.43,237.74,0.06,0,"Nodo 1 - Pies inventariados","IFN3",2003,25,298.22,0,0,31.99,NA,NA,36.95,42.05,1393.04,19.83,5.21,5.29,0.65,55.33,47.16,590.96,29.2,31.38,19.83,275.06,267.03,8.03,NA,NA,2.63,2.63,2.28,165.75,102.45,87.23,11.18,262.9,126.88,0.84,12.13,14.14,52.94,206.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",118,"9_2351","Nodo 3 - Pies inventariados","IFN2",10,31,991.88,9.39,166.59,31,0,6.06,19.95,31.37,782.99,9.97,3.44,3.58,1,42.28,31.78,668.12,31.84,34.22,8.93,119.33,111.12,8.22,0.03,23.75,0,0,0,4.73,39.16,9.95,43.02,108.47,52.79,0,16.7,32.56,51.31,153.36,0.03,24.11,"Nodo 1 - Pies inventariados","IFN3",2003,32,590.64,0,0,18.06,NA,NA,19.73,30.19,726.99,14.1,3.2,3.38,0.53,68.21,46.69,390.39,29.19,31.37,14.01,107.56,98.16,9.41,NA,NA,0,0,0,9.83,44.71,23.36,41.4,100.13,46.64,0,6.82,11.65,29.9,95.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",119,"9_2413","Nodo 3 - Pies inventariados","IFN2",10,71,772.8,10.96,103.15,38.39,0.01,4.18,25.15,35.52,1011.83,18.19,3.64,3.77,0.86,62.92,51.21,780.92,19.78,21.25,16.44,284.32,265.94,18.38,0.06,29.92,0,0,2.35,52.29,162.75,127.17,47.87,269.47,126.36,0.32,13.58,20.16,63.54,223.95,0.04,18.42,"Nodo 1 - Pies inventariados","IFN3",2003,72,341.09,0,0,21.52,NA,NA,28.34,34.46,960.51,18.58,4.3,4.4,0.52,63.09,53.91,424.89,29.14,31.32,18.61,167,157.32,9.68,NA,NA,0,0,2.09,34.46,92.75,76.79,21.54,159.22,74.75,0.36,7.67,10.44,35.62,128.83,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"120",120,"9_245","Nodo 3 - Pies inventariados","IFN2",10,41,120.9,0.36,43.45,7.27,0,2.35,27.67,27.83,609.5,6.3,5.62,5.63,0.3,22.93,22.63,144.42,144.44,155.21,5.8,19.5,19.03,0.47,0.01,6.18,0,0,0,0,11.43,0,2.28,17.23,9.04,0,6.12,11.32,12.04,38.51,0.02,10.12,"Nodo 1 - Pies inventariados","IFN3",2003,42,42.44,0,0,2.79,NA,NA,28.94,28.9,657.98,7.5,6,6.01,0.12,25.95,25.95,54.84,204.67,219.93,7.5,8.91,8.69,0.22,NA,NA,0,0,0,0,5.45,0,0.99,8.01,4.13,0,2.1,3.64,4.62,14.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",121,"9_246","Nodo 3 - Pies inventariados","IFN2",10,45,979.1,6.52,179.23,28.74,0,6.08,19.33,27.86,612.91,6.5,3.57,3.68,1.04,33.25,23.34,624.41,49.15,52.81,5.7,80.38,74.85,5.52,0.02,16.31,0,0,0,0,21.56,0,34.97,70.03,35.57,0,19.77,42.79,47.58,145.7,0.02,25.36,"Nodo 1 - Pies inventariados","IFN3",2003,46,120.25,0,0,6.27,NA,NA,25.76,26.32,563.29,8.32,5,5.13,0.25,33.89,31.62,126.75,109.6,117.77,8.56,21.66,20.67,0.99,NA,NA,0,0,0,0,10.46,0,4.36,19.62,9.82,0,4.45,7.83,10.38,32.47,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"122",122,"9_305","Nodo 3 - Pies inventariados","IFN2",10,39,627.72,4.26,83.79,32.97,0,3.85,25.86,32.48,831.7,13.63,4.33,4.39,0.95,41.64,41.96,665.95,29.29,31.48,12.06,161.93,153.5,8.42,0.03,18.32,0,0,0,14.23,93.87,64.39,25.61,150.73,72.93,0,16.63,28.07,54.57,172.2,0.03,15.82,"Nodo 1 - Pies inventariados","IFN3",2003,40,173.3,0,0,11.21,NA,NA,28.7,31.25,774.62,14.38,4.98,5.03,0.34,47.24,46.02,220.7,52.82,56.76,14.12,66.62,63.45,3.17,NA,NA,0,0,0,14.96,39.87,31.1,7.36,62.76,30.15,0,4.97,7.35,18.56,61.03,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"123",123,"9_355","Nodo 3 - Pies inventariados","IFN2",10,30,879.22,5.33,152.44,21.69,0,4.34,17.72,23.74,443.68,6.96,3.41,3.48,0.84,30.94,29.31,481.65,48.47,52.09,5.75,54.58,50.43,4.15,0.01,11.9,0,0,0,0,6.7,0,25.59,46.79,23.96,0,15.44,37.44,35.91,112.75,0.02,17.52,"Nodo 1 - Pies inventariados","IFN3",2003,31,618.94,0,0,14.05,NA,NA,17,21.35,360.1,9.25,3.13,3.22,0.43,48.87,43.31,315.23,43.47,46.71,9.24,46.19,41.72,4.47,NA,NA,0,0,0,0,12.42,0,23.97,41.25,19.82,0,5.62,12.32,19.6,57.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",124,"9_382","Nodo 3 - Pies inventariados","IFN2",10,31,1589.63,17.75,192.67,42.65,0,6.28,18.48,26.13,536.58,9.71,3.17,3.26,1.33,42.87,37.18,936.99,25.82,27.75,8.26,157.83,144.96,12.87,0.02,23.88,0,0,0,0,51.03,0,66.99,141.83,68.87,0,22.26,46.85,70.59,208.58,0.02,24.56,"Nodo 1 - Pies inventariados","IFN3",2003,32,997.37,0,0,24.32,NA,NA,17.62,26.54,556.09,11.59,2.91,3.02,0.61,60.57,43.66,540.76,27.32,29.36,11.73,102.46,92.07,10.4,NA,NA,0,0,0,0,33.94,19.52,50.5,94.29,43.74,0,7.74,15.32,33.24,100.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",125,"9_393","Nodo 3 - Pies inventariados","IFN2",10,29,600.73,2.74,126,16.79,0,3.81,18.87,22.72,405.49,5.89,3.71,3.75,0.66,29.74,25.94,367.03,69.24,74.4,5.12,42,38.97,3.03,0.01,9.68,0,0,0,0,5.81,0,21,36.78,18.51,0,12.07,28.09,27.79,86.47,0.02,15.48,"Nodo 1 - Pies inventariados","IFN3",2003,30,314.77,0,0,9.59,NA,NA,19.7,22.62,402.93,8.19,3.81,3.84,0.36,41.03,36.2,207.39,68.82,73.96,7.93,34.73,31.89,2.84,NA,NA,0,0,0,0,7.08,0,16.45,31.11,15.15,0,5.14,10.68,15.88,46.84,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"126",126,"9_467","Nodo 3 - Pies inventariados","IFN2",10,31,931.21,6.49,159.61,30.4,0,5.84,20.39,27.14,580.97,10.95,3.57,3.63,0.96,43.43,40.34,651.67,29.93,32.17,9.79,124.35,114.82,9.52,0.02,25.3,0,0,0,0,47.18,26.57,48.85,113.52,54.56,0,15.18,29.98,50.32,150.03,0.02,22.68,"Nodo 1 - Pies inventariados","IFN3",2003,32,537.59,0,0,12.46,NA,NA,17.18,21.92,382.63,12.02,3.37,3.41,0.37,60.58,54.82,278.8,35.9,38.57,11.93,57.75,51.93,5.81,NA,NA,0,0,0,0,15.38,5.8,30.58,53.39,24.68,0,4.37,8.59,18.66,56.28,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"127",127,"9_610","Nodo 3 - Pies inventariados","IFN2",10,45,697.13,4.78,86.52,36.04,0,3.85,25.66,31.1,760.78,12.3,4.2,4.27,1,45.18,39.54,729.44,30.8,33.1,10.81,183.48,173.09,10.39,0.03,19.14,0,0,0,7.84,107.17,96.28,32.34,170.98,82.24,0,17.06,27.78,59.65,186.74,0.03,15.76,"Nodo 1 - Pies inventariados","IFN3",2003,46,544.66,0,0,28.71,NA,NA,25.91,31.84,797.91,12.58,4.28,4.37,0.82,46.16,39.5,579.71,34.07,36.61,12.48,150.91,142.66,8.25,NA,NA,0,0,0,9.71,86.47,77.76,25.43,141.11,67.79,0,13.39,21.34,47.52,150.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",128,"9_621","Nodo 3 - Pies inventariados","IFN2",10,35,1414.18,9.24,118.34,40.63,0,3.69,19.13,22.65,403,7.15,3.42,3.46,1.33,38.68,31.56,885.05,37.2,39.97,7.12,135.11,123.98,11.12,0.02,12.25,0,0,0,0,36.57,0,65.36,120.35,58.91,0,23.13,50.04,67.25,199.33,0.02,14.42,"Nodo 1 - Pies inventariados","IFN3",2003,36,930.17,0,0,27.69,NA,NA,19.47,23.12,420.05,11.34,3.42,3.46,0.88,52.26,49.08,600.48,28.9,31.06,11.33,127.56,115.56,12,NA,NA,0,0,0,0,45.13,2.46,58.9,117.04,54.9,0,17.3,46.17,45.83,164.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07789112,31.83,0.2530485,32.4745575
"129",129,"9_68","Nodo 3 - Pies inventariados","IFN2",10,35,1078.22,7.38,194.33,29.14,0,6.4,18.55,25.23,499.87,7.23,3.4,3.48,1.03,36.39,28.65,639.65,42.13,45.27,6.5,89.3,82.32,6.98,0.02,19.45,0,0,0,0,20.98,0,41.85,79.14,39.11,0,17.73,39.17,48.24,144.25,0.05,25.42,"Nodo 1 - Pies inventariados","IFN3",2003,36,534.05,0,0,15.45,NA,NA,19.19,22.92,414.6,9.35,3.49,3.53,0.52,51.47,40.79,336.22,46.28,49.73,9.08,69.15,62.74,6.41,NA,NA,0,0,0,0,25,0,33.21,63.29,29.81,0,6.85,13.67,25.57,75.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",130,"9_714","Nodo 3 - Pies inventariados","IFN2",10,37,1310.11,9.49,145.39,43.37,0,5.55,20.53,27.43,591.37,10.41,3.5,3.55,1.3,43.69,37.97,928.13,26.53,28.51,8.67,176.02,162.22,13.8,0.02,22.67,0,0,0,0,70.39,4.69,68.57,160.98,77.08,0,21.81,42.99,71.79,213.66,0.02,22.01,"Nodo 1 - Pies inventariados","IFN3",2003,38,859.44,0,0,27.24,NA,NA,20.09,26.38,551.38,11.27,3.46,3.51,0.83,52.08,42.72,586.1,30.27,32.53,11.23,129.38,118.03,11.34,NA,NA,0,0,0,0,53.56,9.64,54.98,119.14,56.08,0,11.78,22.51,45.09,135.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",131,"9_72","Nodo 3 - Pies inventariados","IFN2",10,30,385.27,1.48,167.48,12.53,0,5.78,20.35,27.56,597.82,5.89,4,4.13,0.52,24.51,21.36,268.66,86.53,92.98,4.19,28.41,27.08,1.33,0.01,13.35,0,0,0,0,8.8,0,8.42,24.74,12.87,0,10.62,23.78,20.73,68.01,0.03,25.09,"Nodo 1 - Pies inventariados","IFN3",2003,31,106.1,0,0,3.93,NA,NA,21.71,21.36,382.32,7.35,4.29,4.42,0.16,34.6,34.4,82.88,132.09,141.94,7.26,13.42,12.67,0.75,NA,NA,0,0,0,0,5.32,0,3.99,12.19,6.02,0,2.44,4.76,6.5,19.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",132,"9_76","Nodo 3 - Pies inventariados","IFN2",10,30,750.7,3.99,86.24,18.89,0,1.86,17.9,19.85,309.64,6.47,3.49,3.5,0.72,33.98,32.57,418.28,56.45,60.66,5.75,51.86,47.44,4.42,0.01,5.03,0,0,0,0,0,0,31.73,45.32,22.54,0,12.02,28.47,31.26,94.29,0.02,6.95,"Nodo 1 - Pies inventariados","IFN3",2003,31,763.94,0,0,14.56,NA,NA,15.58,20.22,321.5,9.12,3.39,3.41,0.44,55.35,45.12,333.87,39.65,42.61,8.93,46.87,42.3,4.57,NA,NA,0,0,0,0,4.31,0,27.11,42.14,20.1,0,5.83,12.69,20.04,58.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",133,"9_77","Nodo 3 - Pies inventariados","IFN2",10,30,558.49,2.97,147.67,9.22,0,2.42,14.5,17.01,227.26,4.97,3,3.01,0.4,30.92,29.2,215.16,85.2,91.55,4.5,19.32,17.38,1.95,0.02,5.2,0,0,0,0,0,0,14.23,15.6,8.26,0,6.55,18.76,15.26,48.82,0.04,9.05,"Nodo 1 - Pies inventariados","IFN3",2003,31,222.82,0,0,2.84,NA,NA,12.74,14.42,165.62,6.96,2.67,2.7,0.13,45.94,48.27,68.5,96.26,103.44,5.78,8.25,7.21,1.04,NA,NA,0,0,0,0,0,0,5.7,7.02,3.42,0,1.43,4.11,4.7,13.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",134,"9_903","Nodo 3 - Pies inventariados","IFN2",10,20,28.24,0.06,0,2.63,0,0,34.43,33.42,931.26,11.19,8.41,8.41,0.08,33.49,33.49,49.45,168.13,180.67,10.75,7.71,7.86,-0.15,0.02,0,0,0,0,5.74,1.66,0,0,7.21,3.73,0.11,1.47,1.95,3.19,10.45,0.03,0,"Nodo 1 - Pies inventariados","IFN3",2003,21,28.29,0,0,2.8,NA,NA,35.52,35.43,990.86,9.66,7.75,7.75,0.07,27.26,27.26,52.31,194.63,209.15,9.66,5.7,5.75,-0.05,NA,NA,0,0,0,2.82,1.69,0,0,5.27,2.73,0,1.27,1.83,2.64,8.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",135,"9_904","Nodo 3 - Pies inventariados","IFN2",10,19,108.03,0.43,29.09,8.81,0,2.02,32.23,31.79,837.03,7.76,6.19,6.38,0.35,24.94,24.41,168.47,124.01,133.26,7.16,27.21,27.06,0.15,0.01,5.99,0,0,0,6.03,9.57,0,2.12,24.63,12.86,0.61,7.95,12.44,14.59,48.44,0.01,9.34,"Nodo 1 - Pies inventariados","IFN3",2003,20,408.29,0,0,11.42,NA,NA,18.87,29.23,709.38,7.22,6.03,6.26,0.19,33.86,24.72,249.54,68.51,73.62,7,13.69,13.66,0.03,NA,NA,0,0,0,1.53,3.76,0,1.13,12.37,6.49,0.31,4.59,7.36,7.97,26.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",136,"9_919","Nodo 3 - Pies inventariados","IFN2",10,48,600.39,3.74,98.37,31.26,0,4.25,25.75,31.78,795.9,11.78,4.29,4.36,0.9,44.46,37.07,632.17,34.64,37.23,10.5,156.54,147.81,8.73,0.02,20.59,0,0,0,8.51,87.67,78.48,28.31,146.07,70.23,0,15.1,24.69,51.74,161.76,0.02,17.38,"Nodo 1 - Pies inventariados","IFN3",2003,49,848.83,0,0,34.12,NA,NA,22.62,32.02,808.62,14.94,4.15,4.25,0.57,58.25,46.64,712.67,22.98,24.69,14.79,110.94,104.58,6.36,NA,NA,0,0,0,14.51,62.42,56.31,19.65,103.72,49.69,0,11.41,25.1,32.93,119.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86023758,31.83,0.305568,17.079978
"137",137,"9_924","Nodo 3 - Pies inventariados","IFN2",10,45,748.51,5.29,180.84,21.18,0,6.52,18.98,26.32,544.07,7.16,3.53,3.66,0.79,32.41,27.19,462.29,51.07,54.88,6.25,61.85,57.75,4.1,0.03,19.42,0,0,0,0,21.54,0,22.06,54.68,27.44,0,14.1,31.45,35.06,108.06,0.05,26.33,"Nodo 1 - Pies inventariados","IFN3",2003,46,519.91,0,0,10.5,NA,NA,16.03,22.29,395.27,7.47,2.99,3.17,0.41,39.59,33.53,238.94,58.68,63.05,7.52,33.67,30.83,2.84,NA,NA,0,0,0,0,9.52,0,13.51,29.65,14.65,0,6.08,14.48,17.37,52.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",139,"9_959","Nodo 3 - Pies inventariados","IFN2",10,39,632.21,5.97,132.43,28.64,0,5.05,24.01,31.71,790.42,12.69,3.94,4.1,0.83,45.67,40,589.25,31.35,33.69,11.62,144.12,136.08,8.04,0.02,24.5,0,0,0,14.06,84.02,70.96,26.42,134.75,64.65,0,13.63,22.73,47.4,148.41,0.02,20.34,"Nodo 1 - Pies inventariados","IFN3",2003,40,820.53,0,0,27.18,NA,NA,20.54,33.35,877.2,14.75,3.65,3.9,0.5,46.77,44.22,581.65,23.67,25.44,14.73,103.05,97.33,5.72,NA,NA,0,0,0,14.69,61.55,55.32,13.65,96.69,46.24,0,8.67,17.81,29.14,101.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.86845283,190.98,0.1390971,NA
