"","X.2","X.1","X","PLOT_ID","Hoja_arboles.x","INVENTORY_ID_IFN2","Anho.x","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_dominante_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez.x","Esbeltez_dominante.x","SDI_IFN2","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_desenrollo.x","V_chapa.x","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_postes.x","V_estacas.x","V_trituracion_IFN2","WSW_IFN2","WTHICKB_IFN2","WB2_7_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","Hoja_arboles.y","INVENTORY_ID_IFN3","Anho.y","T_IFN3","N_IFN3","N_muerto_IFN3.x","N_incorporado_IFN3.x","G_IFN3","G_muerta_IFN3.x","G_incorporada_IFN3.x","dg_IFN3","Do_IFN3","Seccion_dominante_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez.y","Esbeltez_dominante.y","SDI_IFN3","Hart_IFN3","Hart_tresbolillo_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_muerto_IFN3.x","V_incorporado_IFN3.x","V_desenrollo.y","V_chapa.y","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_postes.y","V_estacas.y","V_trituracion_IFN3","WSW_IFN3","WTHICKB_IFN3","WB2_7_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","WT_muerta_IFN3.x","WT_incorporada_IFN3.x","G_incorporada_IFN3.y","N_incorporado_IFN3.y","V_incorporado_IFN3.y","WT_incorporada_IFN3.y","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3.y","N_muerto_IFN3.y","V_muerto_IFN3.y","WT_muerta_IFN3.y"
"109",110,111,111,"9_1688","Nodo 3 - Pies inventariados","IFN2",10,34,294.86,0,103.88,10.22,NA,3.52,21,23.34,427.93,9.57,4.02,4.04,0.38,40.78,41.02,217.41,60.83,65.36,6,39.82,36.83,2.99,0,13.47,0,0,0,0,13.23,0,14.1,36.35,17.5,0,5.33,10.57,16.91,50.31,NA,13.61,"Nodo 1 - Pies inventariados","IFN3",2003,35,265.26,0,0,5.38,NA,NA,16.08,20.62,340.28,6.89,4.06,4.09,0.18,41.45,33.44,122.49,89.07,95.71,6.86,13.49,12.53,0.95,NA,NA,0,0,0,0,3.49,0,5.86,12,5.96,0,2.72,5.86,7.23,21.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",111,112,112,"9_1735","Nodo 3 - Pies inventariados","IFN2",10,30,581.38,0,135.74,10.48,NA,2.2,15.15,18.33,264.37,6.95,3,3.02,0.42,44.01,37.9,242.07,59.7,64.15,4.08,32.48,28.87,3.6,0,6.1,0,0,0,0,0,0,22.63,28.15,13.72,0,5.43,13.68,17.35,50.18,NA,8.18,"Nodo 1 - Pies inventariados","IFN3",2003,31,159.15,0,0,3.3,NA,NA,16.24,17.42,241.47,5.85,3.39,3.43,0.15,36.79,33.6,74.82,135.43,145.52,5.94,8.88,8.03,0.85,NA,NA,0,0,0,0,0,0,5.66,7.57,3.81,0,2.06,5.13,5.46,16.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",112,113,113,"9_1810","Nodo 3 - Pies inventariados","IFN2",10,29,430.8,0,91.27,20.67,NA,4.29,24.72,30.28,723.64,12.08,4.26,4.32,0.63,46.56,39.88,422.24,39.9,42.87,8.79,105.02,98.53,6.49,0,20.37,0,0,0,3.72,59.85,37.06,21.22,97.91,46.81,0,9.58,15.97,34.21,106.58,NA,17.29,"Nodo 1 - Pies inventariados","IFN3",2003,30,304.16,0,0,14.16,NA,NA,24.35,29.94,708.62,11.65,4.31,4.39,0.46,46.5,38.9,290.37,49.24,52.91,11.52,70.48,66.12,4.36,NA,NA,0,0,0,5.01,35.69,22.55,15.58,65.69,31.42,0,6.67,11.19,23.44,72.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",113,114,114,"9_1884","Nodo 3 - Pies inventariados","IFN2",10,40,614.91,0,116.22,27.62,NA,5.21,23.92,31.93,803.09,14.74,3.83,3.91,0.74,57.77,46.17,568.97,27.36,29.4,10.58,170.1,157.82,12.29,0,30.18,0,0,0,14.44,97.36,70.11,41.86,159.59,74.98,0,10.74,17.24,45.72,148.68,NA,21.52,"Nodo 1 - Pies inventariados","IFN3",2003,41,1266.17,0,0,27.53,NA,NA,16.64,31.22,774.88,12.85,3.92,4.03,0.5,34.25,41.16,620.93,21.87,23.5,12.2,96.49,90.04,6.44,NA,NA,0,0,0,12.58,47.03,37.22,24.99,90.29,42.78,0,7.56,12.35,28.94,91.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23367958,541.11,0,NA
"113",114,115,115,"9_1959","Nodo 3 - Pies inventariados","IFN2",10,35,640.67,0,120.76,24.32,NA,5.21,21.98,28.06,618.42,11.11,3.77,3.81,0.73,51.98,39.61,511.57,35.55,38.2,7.85,123.38,113.47,9.91,0,23.61,0,0,0,0,63.04,21.7,39.92,114.88,53.91,0,10.49,18.73,40.25,123.39,NA,20.83,"Nodo 1 - Pies inventariados","IFN3",2003,36,519.91,0,0,18.14,NA,NA,21.08,24.92,495.03,11.12,3.74,3.77,0.58,52.2,44.62,385.63,39.45,42.39,11.15,92.19,84.34,7.85,NA,NA,0,0,0,0,43.56,9.2,32.27,85.52,40.07,0,9.44,22.92,30.02,102.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58904598,31.83,0.1801578,13.1757102
"114",115,116,116,"9_218","Nodo 3 - Pies inventariados","IFN2",10,43,1577.86,0,170.22,49.03,NA,5.93,19.89,28.26,629.6,11.65,3.28,3.36,1.4,47.41,41.2,1057.55,21.62,23.23,7.97,212.28,194.98,17.3,0,24.72,0,0,0,0,88.31,23.52,82.86,194,92.64,0,23.15,45.24,81.15,242.18,NA,23.82,"Nodo 1 - Pies inventariados","IFN3",2003,44,477.46,0,0,16.86,NA,NA,21.2,27.33,589.3,10.91,3.81,3.87,0.56,45.87,39.92,357.88,41.95,45.08,11.14,75.18,69.53,5.65,NA,NA,0,0,0,0,34.81,17.92,24.86,69.07,33.03,0,8.1,15.35,27.9,84.39,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"115",116,117,117,"9_2337","Nodo 3 - Pies inventariados","IFN2",10,41,3104.59,0,183.21,84.32,NA,6.32,18.6,30.82,748.06,18.01,2.45,2.56,1.6,90.51,58.44,1849.64,9.96,10.71,13.5,646.75,575.89,70.86,0,45.53,0,0,0,17.31,259.11,174.97,295.4,607.91,273.63,0,24,40.87,139.57,478.06,NA,27.26,"Nodo 1 - Pies inventariados","IFN3",2003,42,1152.99,0,0,40.73,NA,NA,21.21,30.89,752.1,17.73,3.09,3.17,0.91,78.26,57.41,864.54,16.61,17.85,17.78,310.64,281.3,29.34,NA,NA,0,0,0,16.98,152.14,103.9,108.7,293.31,133.66,0,13.07,23.33,67.41,237.46,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.39688827,31.83,0.1992558,5.44293
"116",117,118,118,"9_2346","Nodo 3 - Pies inventariados","IFN2",10,24,316.33,0,0,36.15,NA,0,38.15,42.76,1438.76,23.46,5.02,5.07,0.64,61.97,54.86,662.69,23.97,25.75,19.2,361.27,349.87,11.39,0,0,2.59,2.59,2.24,231.58,121.68,104.74,12.73,347.07,166.24,0.94,12.13,13.41,59.84,252.57,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,25,298.22,0,0,31.99,NA,NA,36.95,42.05,1393.04,19.83,5.21,5.29,0.65,55.33,47.16,590.96,29.2,31.38,19.83,275.06,267.03,8.03,NA,NA,2.63,2.63,2.28,165.75,102.45,87.23,11.18,262.9,126.88,0.84,12.13,14.14,52.94,206.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",118,119,119,"9_2351","Nodo 3 - Pies inventariados","IFN2",10,31,1001.4,0,166.72,31.21,NA,6.06,19.92,31.37,783.17,12.26,3.27,3.41,0.91,54.26,39.06,672.92,25.79,27.71,8.93,153.44,141.2,12.24,0,28.41,0,0,0,12.03,55.54,31.56,57.95,142.15,67.09,0,13.6,24.86,51.66,157.21,NA,24.17,"Nodo 1 - Pies inventariados","IFN3",2003,32,590.64,0,0,18.06,NA,NA,19.73,30.19,726.99,14.1,3.2,3.38,0.53,68.21,46.69,390.39,29.19,31.37,14.01,107.56,98.16,9.41,NA,NA,0,0,0,9.83,44.71,23.36,41.4,100.13,46.64,0,6.82,11.65,29.9,95.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",119,120,120,"9_2413","Nodo 3 - Pies inventariados","IFN2",10,71,783.99,0,103.36,38.78,NA,4.19,25.1,35.54,1012.74,20.47,3.47,3.6,0.8,72.45,57.6,789.3,17.45,18.75,16.44,328.16,304.98,23.18,0,33.17,2.82,2.82,2.44,66.6,193.85,155.43,56.39,312.26,144.91,0.29,12.17,17.37,64.19,238.93,NA,18.65,"Nodo 1 - Pies inventariados","IFN3",2003,72,341.09,0,0,21.52,NA,NA,28.34,34.46,960.51,18.58,4.3,4.4,0.52,63.09,53.91,424.89,29.14,31.32,18.61,167,157.32,9.68,NA,NA,0,0,2.09,34.46,92.75,76.79,21.54,159.22,74.75,0.36,7.67,10.44,35.62,128.83,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"119",120,121,121,"9_245","Nodo 3 - Pies inventariados","IFN2",10,41,121.26,0,43.46,7.29,NA,2.35,27.67,27.83,609.51,8.58,5.41,5.42,0.28,31.18,30.82,144.83,105.89,113.78,5.8,26.96,25.95,1.01,0,7.89,0,0,0,0,14.01,0,3.17,24.6,12.33,0,4.65,7.96,12.07,37.01,NA,9.96,"Nodo 1 - Pies inventariados","IFN3",2003,42,42.44,0,0,2.79,NA,NA,28.94,28.9,657.98,7.5,6,6.01,0.12,25.95,25.95,54.84,204.67,219.93,7.5,8.91,8.69,0.22,NA,NA,0,0,0,0,5.45,0,0.99,8.01,4.13,0,2.1,3.64,4.62,14.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",121,122,122,"9_246","Nodo 3 - Pies inventariados","IFN2",10,45,985.7,0,179.32,28.89,NA,6.08,19.32,27.86,613.02,8.78,3.39,3.49,0.94,45.41,31.53,627.76,36.26,38.96,5.7,111.54,102.43,9.12,0,20.95,0,0,0,0,36.15,0,49.48,100.77,48.67,0,15.01,29.97,47.82,141.47,NA,24.95,"Nodo 1 - Pies inventariados","IFN3",2003,46,120.25,0,0,6.27,NA,NA,25.76,26.32,563.29,8.32,5,5.13,0.25,33.89,31.62,126.75,109.6,117.77,8.56,21.66,20.67,0.99,NA,NA,0,0,0,0,10.46,0,4.36,19.62,9.82,0,4.45,7.83,10.38,32.47,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"121",122,123,123,"9_305","Nodo 3 - Pies inventariados","IFN2",10,39,632.03,0,83.83,33.16,NA,3.85,25.85,32.48,832.04,15.91,4.13,4.18,0.87,50.61,48.97,669.9,25,26.87,12.06,197.47,185.57,11.9,0,21.25,0,0,0,22.54,117.06,93.62,32.34,185.92,88.17,0,13.98,22.24,54.88,179.27,NA,15.89,"Nodo 1 - Pies inventariados","IFN3",2003,40,173.3,0,0,11.21,NA,NA,28.7,31.25,774.62,14.38,4.98,5.03,0.34,47.24,46.02,220.7,52.82,56.76,14.12,66.62,63.45,3.17,NA,NA,0,0,0,14.96,39.87,31.1,7.36,62.76,30.15,0,4.97,7.35,18.56,61.03,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"122",123,124,124,"9_355","Nodo 3 - Pies inventariados","IFN2",10,30,884.63,0,152.52,21.8,NA,4.34,17.71,23.74,443.71,9.24,3.25,3.31,0.76,44.09,38.92,484,36.39,39.1,5.75,78.28,71.17,7.11,0,15.9,0,0,0,0,16.8,0,40.39,69.71,33.82,0,11.26,24.75,36.08,105.9,NA,17.13,"Nodo 1 - Pies inventariados","IFN3",2003,31,618.94,0,0,14.05,NA,NA,17,21.35,360.1,9.25,3.13,3.22,0.43,48.87,43.31,315.23,43.47,46.71,9.24,46.19,41.72,4.47,NA,NA,0,0,0,0,12.42,0,23.97,41.25,19.82,0,5.62,12.32,19.6,57.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",124,125,125,"9_382","Nodo 3 - Pies inventariados","IFN2",10,31,1615.14,0,200.43,43.11,NA,6.4,18.44,26.12,536.53,12,3,3.09,1.21,55.69,45.92,947.78,20.74,22.29,8.26,206.07,186.96,19.11,0,29.28,0,0,0,0,77.81,40.35,92.54,189.49,88.83,0,18,35.39,71.36,213.58,NA,24.98,"Nodo 1 - Pies inventariados","IFN3",2003,32,997.37,0,0,24.32,NA,NA,17.62,26.54,556.09,11.59,2.91,3.02,0.61,60.57,43.66,540.76,27.32,29.36,11.73,102.46,92.07,10.4,NA,NA,0,0,0,0,33.94,19.52,50.5,94.29,43.74,0,7.74,15.32,33.24,100.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",125,126,126,"9_393","Nodo 3 - Pies inventariados","IFN2",10,29,603.52,0,126.05,16.86,NA,3.81,18.86,22.71,405.44,8.17,3.55,3.58,0.61,41.95,35.99,368.49,49.79,53.51,5.12,60.18,54.98,5.2,0,13.22,0,0,0,0,13.81,0,30.8,53.99,26.12,0,8.9,18.97,27.9,81.89,NA,15,"Nodo 1 - Pies inventariados","IFN3",2003,30,314.77,0,0,9.59,NA,NA,19.7,22.62,402.93,8.19,3.81,3.84,0.36,41.03,36.2,207.39,68.82,73.96,7.93,34.73,31.89,2.84,NA,NA,0,0,0,0,7.08,0,16.45,31.11,15.15,0,5.14,10.68,15.88,46.84,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"125",126,127,127,"9_467","Nodo 3 - Pies inventariados","IFN2",10,31,937.77,0,159.68,30.57,NA,5.85,20.37,27.14,580.99,13.23,3.41,3.46,0.88,54.84,48.74,655.48,24.69,26.53,9.79,157.86,144.21,13.65,0,29.8,0,0,0,0,68.41,39.94,62.32,146.38,68.52,0,12.45,23.13,50.6,154.7,NA,22.81,"Nodo 1 - Pies inventariados","IFN3",2003,32,537.59,0,0,12.46,NA,NA,17.18,21.92,382.63,12.02,3.37,3.41,0.37,60.58,54.82,278.8,35.9,38.57,11.93,57.75,51.93,5.81,NA,NA,0,0,0,0,15.38,5.8,30.58,53.39,24.68,0,4.37,8.59,18.66,56.28,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"126",127,128,128,"9_610","Nodo 3 - Pies inventariados","IFN2",10,45,701.96,0,86.57,36.25,NA,3.85,25.64,31.1,760.9,14.58,4.01,4.08,0.92,54.24,46.89,733.84,25.88,27.81,10.81,222.55,208.22,14.34,0,22.09,0,0,0,13.28,138.47,110.28,40.82,209.67,98.93,0,14.59,22.67,60,196.2,NA,15.9,"Nodo 1 - Pies inventariados","IFN3",2003,46,544.66,0,0,28.71,NA,NA,25.91,31.84,797.91,12.58,4.28,4.37,0.82,46.16,39.5,579.71,34.07,36.61,12.48,150.91,142.66,8.25,NA,NA,0,0,0,9.71,86.47,77.76,25.43,141.11,67.79,0,13.39,21.34,47.52,150.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",128,129,129,"9_621","Nodo 3 - Pies inventariados","IFN2",10,35,1423.49,0,118.42,40.86,NA,3.69,19.12,22.65,402.79,9.42,3.24,3.28,1.2,50.73,41.62,890.06,28.12,30.22,7.12,179.93,163.12,16.81,0,15.71,0,0,0,0,53.06,0,86.79,164.55,77.5,0,18.19,36.67,67.63,199.99,NA,14.3,"Nodo 1 - Pies inventariados","IFN3",2003,36,930.17,0,0,27.69,NA,NA,19.47,23.12,420.05,11.34,3.42,3.46,0.88,52.26,49.08,600.48,28.9,31.06,11.33,127.56,115.56,12,NA,NA,0,0,0,0,45.13,2.46,58.9,117.04,54.9,0,17.3,46.17,45.83,164.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07789112,31.83,0.2530485,32.4745575
"128",129,130,130,"9_68","Nodo 3 - Pies inventariados","IFN2",10,35,1085.69,0,194.42,29.29,NA,6.41,18.54,25.22,499.68,9.51,3.24,3.31,0.93,49,37.7,643.14,31.92,34.3,6.5,121.29,110.31,10.98,0,24.38,0,0,0,0,36.93,0,58.64,110.22,52.41,0,13.73,28.07,48.49,142.7,NA,25.22,"Nodo 1 - Pies inventariados","IFN3",2003,36,534.05,0,0,15.45,NA,NA,19.19,22.92,414.6,9.35,3.49,3.53,0.52,51.47,40.79,336.22,46.28,49.73,9.08,69.15,62.74,6.41,NA,NA,0,0,0,0,25,0,33.21,63.29,29.81,0,6.85,13.67,25.57,75.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",130,131,131,"9_714","Nodo 3 - Pies inventariados","IFN2",10,37,1319.67,0,145.46,43.63,NA,5.55,20.52,27.43,591.22,12.69,3.33,3.37,1.18,54.97,46.29,933.89,21.68,23.3,8.67,223.95,204.25,19.7,0,26.98,0,0,0,0,94.35,28.82,90.11,208.08,97.04,0,17.87,33.16,72.22,220.3,NA,22.1,"Nodo 1 - Pies inventariados","IFN3",2003,38,859.44,0,0,27.24,NA,NA,20.09,26.38,551.38,11.27,3.46,3.51,0.83,52.08,42.72,586.1,30.27,32.53,11.23,129.38,118.03,11.34,NA,NA,0,0,0,0,53.56,9.64,54.98,119.14,56.08,0,11.78,22.51,45.09,135.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",131,132,132,"9_72","Nodo 3 - Pies inventariados","IFN2",10,30,386.82,0,167.54,12.56,NA,5.78,20.34,27.57,598.07,8.17,3.83,3.96,0.48,36.13,29.63,269.5,62.24,66.88,4.19,41.63,38.98,2.65,0,17.71,0,0,0,0,13.63,0,14.32,37.66,18.52,0,7.66,15.47,20.8,62.45,NA,24.42,"Nodo 1 - Pies inventariados","IFN3",2003,31,106.1,0,0,3.93,NA,NA,21.71,21.36,382.32,7.35,4.29,4.42,0.16,34.6,34.4,82.88,132.09,141.94,7.26,13.42,12.67,0.75,NA,NA,0,0,0,0,5.32,0,3.99,12.19,6.02,0,2.44,4.76,6.5,19.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",132,133,133,"9_76","Nodo 3 - Pies inventariados","IFN2",10,30,754.71,0,86.26,18.98,NA,1.86,17.89,19.85,309.57,8.75,3.33,3.34,0.66,46.77,44.05,420.31,41.62,44.73,5.75,72.67,65.52,7.14,0,6.51,0,0,0,0,6.5,0,45.07,65.28,31.13,0,9.05,19.74,31.41,91.33,NA,6.85,"Nodo 1 - Pies inventariados","IFN3",2003,31,763.94,0,0,14.56,NA,NA,15.58,20.22,321.5,9.12,3.39,3.41,0.44,55.35,45.12,333.87,39.65,42.61,8.93,46.87,42.3,4.57,NA,NA,0,0,0,0,4.31,0,27.11,42.14,20.1,0,5.83,12.69,20.04,58.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",133,134,134,"9_77","Nodo 3 - Pies inventariados","IFN2",10,30,561.51,0,147.71,9.26,NA,2.42,14.49,17.01,227.19,7.25,2.88,2.89,0.37,46.77,42.61,216.18,58.23,62.58,4.5,29.65,26.17,3.48,0,7.17,0,0,0,0,0,0,22.31,25.83,12.43,0,4.55,11.69,15.33,43.99,NA,8.73,"Nodo 1 - Pies inventariados","IFN3",2003,31,222.82,0,0,2.84,NA,NA,12.74,14.42,165.62,6.96,2.67,2.7,0.13,45.94,48.27,68.5,96.26,103.44,5.78,8.25,7.21,1.04,NA,NA,0,0,0,0,0,0,5.7,7.02,3.42,0,1.43,4.11,4.7,13.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",134,135,135,"9_903","Nodo 3 - Pies inventariados","IFN2",10,20,28.29,0,0,2.64,NA,0,34.45,33.44,932.02,12.33,8.15,8.15,0.07,36.88,36.88,49.58,152.47,163.84,10.75,9.62,9.71,-0.09,0,0,0,0,0,6.31,1.76,0,0,9.08,4.61,0.1,1.23,1.54,3.2,10.68,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,21,28.29,0,0,2.8,NA,NA,35.52,35.43,990.86,9.66,7.75,7.75,0.07,27.26,27.26,52.31,194.63,209.15,9.66,5.7,5.75,-0.05,NA,NA,0,0,0,2.82,1.69,0,0,5.27,2.73,0,1.27,1.83,2.64,8.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",135,136,136,"9_904","Nodo 3 - Pies inventariados","IFN2",10,19,108.46,0,29.1,8.84,NA,2.02,32.22,31.8,837.73,10.04,5.95,6.14,0.32,32.21,31.56,169.07,95.68,102.82,7.16,36.06,35.48,0.59,0,7,0,0,0,8.35,17.58,12.75,2.92,33.39,16.86,0.57,6.17,9,14.64,47.24,NA,9.34,"Nodo 1 - Pies inventariados","IFN3",2003,20,408.29,0,0,11.42,NA,NA,18.87,29.23,709.38,7.22,6.03,6.26,0.19,33.86,24.72,249.54,68.51,73.62,7,13.69,13.66,0.03,NA,NA,0,0,0,1.53,3.76,0,1.13,12.37,6.49,0.31,4.59,7.36,7.97,26.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",136,137,137,"9_919","Nodo 3 - Pies inventariados","IFN2",10,48,604.18,0,98.42,31.43,NA,4.25,25.74,31.78,796.03,14.06,4.1,4.17,0.82,53.48,44.24,635.68,28.93,31.09,10.5,190.29,178.19,12.1,0,23.75,0,0,0,13.95,120.8,105.26,34.11,179.52,84.66,0,12.86,20.03,52.03,169.58,NA,17.5,"Nodo 1 - Pies inventariados","IFN3",2003,49,848.83,0,0,34.12,NA,NA,22.62,32.02,808.62,14.94,4.15,4.25,0.57,58.25,46.64,712.67,22.98,24.69,14.79,110.94,104.58,6.36,NA,NA,0,0,0,14.51,62.42,56.31,19.65,103.72,49.69,0,11.41,25.1,32.93,119.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86023758,31.83,0.305568,17.079978
"136",137,138,138,"9_924","Nodo 3 - Pies inventariados","IFN2",10,45,753.88,0,180.92,21.28,NA,6.52,18.96,26.32,543.9,9.44,3.36,3.49,0.72,44.94,35.86,464.63,38.59,41.47,6.25,84.81,78.04,6.77,0,24.41,0,0,0,0,38.53,0,30.53,76.91,37.08,0,10.7,21.68,35.23,104.69,NA,26.07,"Nodo 1 - Pies inventariados","IFN3",2003,46,519.91,0,0,10.5,NA,NA,16.03,22.29,395.27,7.47,2.99,3.17,0.41,39.59,33.53,238.94,58.68,63.05,7.52,33.67,30.83,2.84,NA,NA,0,0,0,0,9.52,0,13.51,29.65,14.65,0,6.08,14.48,17.37,52.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",139,140,140,"9_959","Nodo 3 - Pies inventariados","IFN2",10,39,638.35,0,132.59,28.83,NA,5.06,23.98,31.71,790.38,14.96,3.76,3.91,0.77,55.65,47.19,593.49,26.45,28.42,11.62,175.35,164.09,11.26,0,28.24,0,0,0,22.97,104.28,83.47,33.31,164.54,77.96,0,11.61,18.4,47.72,155.69,NA,20.47,"Nodo 1 - Pies inventariados","IFN3",2003,40,820.53,0,0,27.18,NA,NA,20.54,33.35,877.2,14.75,3.65,3.9,0.5,46.77,44.22,581.65,23.67,25.44,14.73,103.05,97.33,5.72,NA,NA,0,0,0,14.69,61.55,55.32,13.65,96.69,46.24,0,8.67,17.81,29.14,101.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.86845283,190.98,0.1390971,NA
