"","X","PLOT_ID","ID_escenario","Hoja_arboles.x","INVENTORY_ID_IFN2","Anho.x","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_dominante_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez.x","Esbeltez_dominante.x","SDI_IFN2","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_desenrollo.x","V_chapa.x","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_postes.x","V_estacas.x","V_trituracion_IFN2","WSW_IFN2","WTHICKB_IFN2","WB2_7_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","Hoja_arboles.y","INVENTORY_ID_IFN3","Anho.y","T_IFN3","N_IFN3","N_muerto_IFN3.x","N_incorporado_IFN3.x","G_IFN3","G_muerta_IFN3.x","G_incorporada_IFN3.x","dg_IFN3","Do_IFN3","Seccion_dominante_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez.y","Esbeltez_dominante.y","SDI_IFN3","Hart_IFN3","Hart_tresbolillo_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_muerto_IFN3.x","V_incorporado_IFN3.x","V_desenrollo.y","V_chapa.y","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_postes.y","V_estacas.y","V_trituracion_IFN3","WSW_IFN3","WTHICKB_IFN3","WB2_7_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","WT_muerta_IFN3.x","WT_incorporada_IFN3.x","G_incorporada_IFN3.y","N_incorporado_IFN3.y","V_incorporado_IFN3.y","WT_incorporada_IFN3.y","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3.y","N_muerto_IFN3.y","V_muerto_IFN3.y","WT_muerta_IFN3.y"
"54",54,"9_1339","Nodo 3 - Pies inventariados",35,"IFN2",10,30,1842.25,0,13.74,50.64,NA,0.13,18.71,26.61,557.04,13.48,2.86,2.94,1.25,67.98,50.65,1109.21,17.29,18.58,10.18,294.89,265.03,29.86,0,0.61,0,0,0,0,118.76,53.83,132.67,273.96,125.92,0,17.94,33.24,83.82,260.92,NA,0.38,"Nodo 1 - Pies inventariados","IFN3",2003,31,715.99,0,0,20.4,NA,NA,19.05,29.39,693.07,16.07,3.28,3.41,0.36,76.68,54.67,444.89,23.26,25,16.05,87.57,79.87,7.7,NA,NA,0,0,0,2.37,48.84,41.61,25.32,82.08,37.95,0,4.45,7.51,21.72,71.63,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"55",55,"9_1341","Nodo 3 - Pies inventariados",35,"IFN2",10,36,1573.89,0,10.64,61.38,NA,0.1,22.28,33.3,874.16,15.8,3.18,3.29,1.34,65.38,47.43,1286.83,15.96,17.15,12,405.26,372.71,32.55,0,0.49,0,0,0,27.49,215.8,172.98,113.41,381.44,177.09,0,21.87,35.36,101.59,335.91,NA,0.31,"Nodo 1 - Pies inventariados","IFN3",2003,37,519.91,0,0,26.48,NA,NA,25.47,32.73,851.53,19.18,3.81,3.91,0.59,71.57,58.61,536.97,22.86,24.57,19.13,208.57,193.89,14.69,NA,NA,0,0,0,37.73,121.54,94.63,36.7,197.97,92.12,0.02,8.31,11.79,42.55,154.8,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"56",56,"9_1342","Nodo 3 - Pies inventariados",35,"IFN2",10,35,2296.91,0,22.76,63.48,NA,0.24,18.76,25.58,515.1,13.66,2.83,2.89,1.5,66.75,53.38,1389.5,15.28,16.42,10,366.55,328.63,37.92,0,1.21,0,0,0,0,129.23,50.42,176.73,340.64,156.14,0,22.29,42,105.07,325.51,NA,0.74,"Nodo 1 - Pies inventariados","IFN3",2003,36,626.01,0,0,16.2,NA,NA,18.15,23.89,449.68,15.37,3.21,3.29,0.53,55.32,64.34,357.55,26,27.94,15.42,92.8,83.71,9.09,NA,NA,0,0,0,0,46.31,27.6,35.11,86.29,39.77,0,12.97,47.38,26.82,126.93,NA,NA,NA,NA,NA,NA,0,0,0,NA,2.51125968,222.81,0.8078454,52.7337159
"57",57,"9_1343","Nodo 3 - Pies inventariados",35,"IFN2",10,35,2295.77,0,11.01,74.34,NA,0.12,20.31,27.13,578.55,14.68,2.93,2.99,1.61,68.19,54.11,1595.3,14.22,15.28,10.91,472,426.57,45.43,0,0.56,0,0,0,0,240.78,141.82,182.82,441.8,202.68,0,25.35,44.61,123.05,395.69,NA,0.36,"Nodo 1 - Pies inventariados","IFN3",2003,36,735.65,0,0,27.55,NA,NA,21.84,27.81,608.28,17.54,3.36,3.4,0.67,74.92,63.07,580.54,21.02,22.59,17.49,205.2,185.74,19.46,NA,NA,0,0,0,2.29,110.28,76.54,67.85,194,88.25,0,8.49,13.86,45.6,156.19,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"58",58,"9_1351","Nodo 3 - Pies inventariados",35,"IFN2",10,35,2031.06,0,11.56,64.43,NA,0.12,20.1,25.46,509.9,13.14,3.04,3.09,1.52,62.94,51.62,1386.12,16.88,18.14,9.56,370.44,334.95,35.5,0,0.57,0,0,0,0,163.85,78.21,149.07,345.04,159.14,0,23.54,42.84,106.64,332.16,NA,0.36,"Nodo 1 - Pies inventariados","IFN3",2003,36,717.97,0,0,25.04,NA,NA,21.07,25.42,509.54,13.76,3.5,3.52,0.7,61.94,54.13,532.43,27.12,29.14,13.78,148.78,135.03,13.75,NA,NA,0,0,0,0,76.86,22.64,53.34,139.37,64.16,0,9.09,16.14,41.45,130.85,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"59",59,"9_1357","Nodo 3 - Pies inventariados",35,"IFN2",10,30,872.14,0,12.7,19.64,NA,0.13,16.93,21.57,365.85,11.77,2.96,3,0.62,64.37,54.55,441,28.78,30.92,10.41,101.38,89.96,11.43,0,0.5,0,0,0,0,17.81,0,61.8,93.32,42.74,0,7.11,14.77,32.51,97.13,NA,0.38,"Nodo 1 - Pies inventariados","IFN3",2003,31,544.66,0,0,16.61,NA,NA,19.7,27.44,601.84,16.16,3.34,3.36,0.19,71.28,58.91,359.12,26.51,28.48,15.59,40.79,36.52,4.27,NA,NA,0,0,0,0,15.04,10.16,19.74,38.24,17.35,0,2.15,3.94,10.79,34.23,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"60",60,"9_1360","Nodo 3 - Pies inventariados",35,"IFN2",10,25,534.03,0,10.59,23.45,NA,0.12,23.64,30.14,715.53,10.55,4.08,4.19,0.74,41.71,35.01,484.35,41.01,44.07,7.44,106.2,100.08,6.12,0,0.27,0,0,0,2.38,57.34,47.03,21.29,97.82,47.55,0,11.95,20.96,38.81,119.27,NA,0.51,"Nodo 1 - Pies inventariados","IFN3",2003,26,272.33,0,0,16.52,NA,NA,27.79,32.16,816.57,14.89,4.87,4.91,0.4,53.79,46.3,327.73,40.7,43.73,14.8,92.19,87.62,4.57,NA,NA,0,0,0,17.56,57.16,48.34,9.37,87.24,41.63,0,5.94,8.53,23.7,79.8,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"61",61,"9_1361","Nodo 3 - Pies inventariados",35,"IFN2",10,35,1506.67,0,0,55.59,NA,0,21.67,26.59,556.83,13.13,3.4,3.43,1.39,54.86,49.37,1173.54,19.62,21.08,9.55,298.69,273.49,25.2,0,0,0,0,0,0,161.48,68.45,99.62,278.27,129.94,0,22.38,40.04,92.01,284.37,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,36,1294.46,0,0,43.16,NA,NA,20.6,27.27,586.93,16.45,3.13,3.17,1.02,70.83,60.32,922.77,16.9,18.16,16.39,291.02,262.38,28.64,NA,NA,0,0,0,2.34,153.94,82.09,114.12,273.6,124.67,0,13.96,24.29,71.44,234.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",62,"9_1389","Nodo 3 - Pies inventariados",35,"IFN2",10,28,1288.05,0,14.81,23.62,NA,0.15,15.28,20.6,334.17,9.23,2.78,2.81,0.8,54.96,44.81,544.29,30.18,32.43,6.37,92.99,82.08,10.91,0,0.5,0,0,0,0,8.15,0,66.74,82.28,39,0,10.16,23.91,39.1,112.17,NA,0.48,"Nodo 1 - Pies inventariados","IFN3",2003,29,1669.36,0,0,22.74,NA,NA,13.17,21.43,361.63,11.72,2.54,2.61,0.47,72.23,54.7,543.85,20.88,22.44,11.71,73.31,64.25,9.06,NA,NA,0,0,0,0,16.3,0,45.94,66.29,30.53,0,5.19,11.56,24.4,71.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",63,"9_1390","Nodo 3 - Pies inventariados",35,"IFN2",10,30,1620,0,28.44,25.63,NA,0.3,14.19,17.12,230.34,8.6,2.57,2.59,0.85,60.37,50.23,601.45,28.89,31.05,5.58,103.77,90.27,13.5,0,1.12,0,0,0,0,0,0,82.44,91.39,42.89,0,10.13,24.81,42.42,120.25,NA,0.92,"Nodo 1 - Pies inventariados","IFN3",2003,31,827.61,0,0,11.28,NA,NA,13.17,17.51,241.73,11.86,2.36,2.39,0.37,89.12,67.73,269.68,29.3,31.49,11.78,63.64,54.08,9.56,NA,NA,0,0,0,0,3.62,0,50.75,57.2,25.7,0,3.25,7.58,18.67,55.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",64,"9_1391","Nodo 3 - Pies inventariados",35,"IFN2",10,48,877.12,0,0,42.6,NA,0,24.87,32.64,842.74,17.39,3.67,3.73,0.96,64.4,53.26,869.04,19.42,20.87,13.44,305.22,282.62,22.59,0,0,0,0,0,29.37,191.11,139.68,63.06,288.82,134.28,0.01,14.83,22.6,70.52,242.24,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,49,717.97,0,0,32.03,NA,NA,23.83,33.45,885.09,17.26,3.76,3.86,0.84,58.21,51.59,660.41,21.62,23.24,17.1,212.36,197.64,14.72,NA,NA,0,0,0,30.77,120.44,92.82,45.15,200.42,93.91,0.03,17.57,45.32,53.02,209.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68145158,95.49,0.5172375,38.0037468
"65",65,"9_1394","Nodo 3 - Pies inventariados",35,"IFN2",10,49,1121.16,0,0,59.82,NA,0,26.06,34.57,939.48,19.81,3.52,3.6,1.14,70.6,57.31,1206.03,15.07,16.2,15.44,489.93,454.82,35.11,0,0,0,0,0,97.2,297.54,224.16,87.03,465.39,216.1,0,19.19,27.33,99.02,361.64,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,50,477.46,0,0,34.96,NA,NA,30.53,35.93,1015.16,18.89,4.39,4.47,0.75,60.89,52.58,677.43,24.23,26.03,18.74,280.41,265.99,14.42,NA,NA,0,0,0,103.51,153.11,123.23,26.07,267.09,126.38,0,12.45,16.35,57.86,213.04,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"66",66,"9_1398","Nodo 3 - Pies inventariados",35,"IFN2",10,31,1157.94,0,12.03,30.58,NA,0.13,18.34,24.95,489.93,10.47,3.18,3.23,0.95,51.21,41.96,673.17,28.07,30.16,7.37,133.26,120.69,12.57,0,0.43,0,0,0,0,46.36,0,66.47,121.3,57.34,0,13.53,27.81,50.62,149.3,NA,0.41,"Nodo 1 - Pies inventariados","IFN3",2003,32,640.16,0,0,19.87,NA,NA,19.88,25.22,503.68,10.59,3.57,3.62,0.66,47.65,41.97,428.57,37.34,40.12,10.31,85.95,78.67,7.28,NA,NA,0,0,0,0,32.71,8.8,36.06,78.8,37.38,0,9.27,18.29,32.88,97.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",67,"9_1401","Nodo 3 - Pies inventariados",35,"IFN2",10,25,1190.9,0,13.15,29,NA,0.14,17.61,21.93,377.84,10.28,3.07,3.11,0.9,55.16,46.87,644.83,28.2,30.3,7.12,129.83,116.39,13.45,0,0.52,0,0,0,0,29.7,0,73.82,118.18,55.3,0,12.13,25.41,48,140.83,NA,0.43,"Nodo 1 - Pies inventariados","IFN3",2003,26,1128.23,0,0,23.31,NA,NA,16.22,21.85,375.26,14.01,3.07,3.1,0.56,85.63,64.15,529.12,21.24,22.83,14,130.98,116.41,14.57,NA,NA,0,0,0,0,49.81,12.56,69.08,122.52,55.31,0,6.42,11.97,33.7,107.4,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"68",68,"9_1405","Nodo 3 - Pies inventariados",35,"IFN2",10,50,1029.2,0,0,61.79,NA,0,27.65,35.39,985.91,18.26,3.77,3.83,1.18,65.85,51.59,1227.46,17.07,18.34,14.12,494.24,461.77,32.47,0,0,0,0,0,92.02,314.7,238.99,66.51,469.26,219.4,0,20.7,28.9,102.27,371.28,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,51,679.06,0,0,44.4,NA,NA,28.85,35.74,1004.85,19.67,4.04,4.11,0.9,64.61,55.06,872.69,19.5,20.96,19.66,362.12,340.37,21.75,NA,NA,0,0,0,94.79,220.26,174.01,41.2,345.4,161.72,0,15.05,20.4,73.49,270.66,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"69",69,"9_1406","Nodo 3 - Pies inventariados",35,"IFN2",10,48,862.97,0,0,54.02,NA,0,28.23,34.52,937.07,17.36,4.05,4.09,1.13,58.38,50.29,1067.51,19.61,21.07,13.5,391.88,368.48,23.4,0,0,0,0,0,57.68,249.62,201.62,45.9,372.16,175.08,0,19.76,28.12,89.41,312.37,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,49,565.88,0,0,39.45,NA,NA,29.79,35.35,982.63,17.14,4.43,4.47,0.89,55.31,48.48,769.15,24.53,26.35,17.26,282.91,268.05,14.87,NA,NA,0,0,0,65.18,174.32,142.16,27.15,268.46,127.36,0,15.08,20.9,65.29,228.63,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"70",70,"9_1415","Nodo 3 - Pies inventariados",35,"IFN2",10,36,732.11,0,0,21.31,NA,0,19.25,23.14,422.86,10.22,3.44,3.47,0.69,50.95,44.17,463.52,36.15,38.85,7.12,95.9,87,8.9,0,0,0,0,0,0,34.17,6.05,45.74,87.87,41.34,0,9.35,18.74,35.28,104.71,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,37,583.57,0,0,17.71,NA,NA,19.65,23.12,423.7,9.91,3.56,3.59,0.59,49.96,42.88,383.06,41.76,44.87,9.88,79.12,72,7.12,NA,NA,0,0,0,0,26.02,3.07,36.17,72.28,34.21,0,7.9,15.64,29.31,87.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",71,"9_1427","Nodo 3 - Pies inventariados",35,"IFN2",10,34,254.65,0,0,10.34,NA,0,22.74,24.61,477.28,9.1,4.31,4.33,0.37,40.74,36.96,215.79,68.89,74.03,6.25,42.32,39.44,2.89,0,0,0,0,0,0,20.19,0,11.87,38.78,18.74,0,5.4,10.05,17.12,51.31,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,35,229.89,0,0,8.78,NA,NA,22.05,23.69,443.34,8.72,4.35,4.37,0.25,36.78,36.82,184.48,75.61,81.25,8.73,24.88,23.23,1.66,NA,NA,0,0,0,0,10.68,0,7.07,22.66,11.04,0,3.68,7.01,10.91,32.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",72,"9_1428","Nodo 3 - Pies inventariados",35,"IFN2",10,42,1115.91,0,15.97,57.72,NA,0.15,25.66,37.35,1105.43,17.24,3.66,3.8,1.26,58.1,46.14,1168.23,17.37,18.66,13.19,386.16,362.69,23.47,0,0.71,0,0,0,72.38,213.49,179.94,63.37,365.37,172.33,0.22,22.87,34.55,95.54,325.51,NA,0.44,"Nodo 1 - Pies inventariados","IFN3",2003,43,1030.76,0,0,48.72,NA,NA,24.53,38.69,1186.66,16.03,4,4.24,1.37,48.67,41.43,997.17,19.43,20.88,16.03,268.35,255.03,13.32,NA,NA,0,0,0,79.98,129.2,101.31,37.87,251.07,121.17,0.45,52.67,163.89,78.01,416.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.07119878,205.13,2.3462927,187.7413139
"73",73,"9_1430","Nodo 3 - Pies inventariados",35,"IFN2",10,25,146.29,0,18.97,1.86,NA,0.17,12.71,12.71,126.86,5.58,2.75,2.75,0.09,43.94,43.94,44.77,148.05,159.09,3,4.91,4.28,0.64,0,0.35,0,0,0,0,0,0,4,4.19,2.03,0,0.98,2.86,3.07,8.94,NA,0.62,"Nodo 1 - Pies inventariados","IFN3",2003,26,31.83,0,0,0.41,NA,NA,12.81,12.81,128.89,7.82,2.87,2.87,0.02,61.03,61.03,9.88,226.71,243.61,7.82,1.54,1.32,0.22,NA,NA,0,0,0,0,0,0,1.33,1.37,0.63,0,0.16,0.43,0.68,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",74,"9_1432","Nodo 3 - Pies inventariados",35,"IFN2",10,35,219.28,0,0,9.86,NA,0,23.93,26.42,553.88,10.99,4.42,4.45,0.34,44.4,41.58,203.08,61.47,66.05,7.86,46.44,43.43,3.01,0,0,0,0,0,0,25.6,12.94,10.14,43.03,20.63,0,4.73,8.22,16.32,49.9,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,36,148.54,0,0,7.19,NA,NA,24.83,26.36,558.29,10.18,4.67,4.74,0.26,40.54,38.63,146.75,80.58,86.58,10.01,31.86,30.12,1.74,NA,NA,0,0,0,2.31,18.6,7.01,6.71,29.5,14.31,0,3.76,6.45,11.9,36.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",75,"9_1438","Nodo 3 - Pies inventariados",35,"IFN2",10,45,1004.44,0,0,42.49,NA,0,23.21,29.21,671.22,12.85,3.73,3.77,1.12,51.39,44,881.84,24.55,26.38,9.5,226.99,210.24,16.76,0,0,0,0,0,2.33,129.68,92.97,58.55,211.97,99.89,0,18.05,31.04,70.33,219.32,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,46,756.87,0,0,30.97,NA,NA,22.83,30.26,721.87,13.43,3.7,3.77,0.85,55.14,44.38,645.49,27.06,29.08,13.48,176.35,163.02,13.32,NA,NA,0,0,0,4.9,95.43,67.04,48.24,164.72,77.46,0,12.64,21.59,51.27,162.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",76,"9_1444","Nodo 3 - Pies inventariados",35,"IFN2",10,35,587.02,0,14.07,10.1,NA,0.15,14.8,16.58,216.9,7.76,2.92,2.93,0.4,47.64,46.83,234.63,53.15,57.12,4.75,33.5,29.57,3.93,0,0.4,0,0,0,0,0,0,24.08,29.18,14.05,0,4.85,12.24,16.72,47.86,NA,0.53,"Nodo 1 - Pies inventariados","IFN3",2003,36,190.99,0,0,3.79,NA,NA,15.89,17.38,238.25,7.83,3.22,3.25,0.16,47.96,45.04,86.4,92.46,99.35,7.8,13.46,11.99,1.47,NA,NA,0,0,0,0,0,0,9.39,11.93,5.7,0,1.8,4.26,6.27,18.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",77,"9_1447","Nodo 3 - Pies inventariados",35,"IFN2",10,35,933.15,0,10.06,35.95,NA,0.11,22.15,38.88,1209.69,19.2,3.22,3.42,0.86,67.9,49.39,754.8,17.05,18.32,15.06,248.6,231.71,16.89,0,0.57,0,0,0,66.93,95.1,61.55,67.3,233.71,110.09,0.73,13.17,20.4,59.5,203.89,NA,0.31,"Nodo 1 - Pies inventariados","IFN3",2003,36,851.94,0,0,24.78,NA,NA,19.25,35.82,1032.41,20.4,2.91,3.14,0.66,71.98,56.96,539.02,16.79,18.04,18.78,185.5,171.34,14.16,NA,NA,0,0,2.07,52.31,76.11,50.63,49.38,174.72,81.41,0.36,14.86,43.21,41.02,180.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61542791,205.13,1.0707052,45.8273876
"78",78,"9_1448","Nodo 3 - Pies inventariados",35,"IFN2",10,35,983.03,0,13.95,31.86,NA,0.13,20.31,26.86,567.9,11.77,3.44,3.51,0.95,50.11,43.81,683.57,27.11,29.13,8.5,148.68,136.42,12.26,0,0.38,0,0,0,0,65.91,28.15,55.03,136.96,64.82,0,14.19,26.91,52.73,158.64,NA,0.39,"Nodo 1 - Pies inventariados","IFN3",2003,36,1018.59,0,0,25.81,NA,NA,17.96,26.43,550.37,14.13,3.26,3.34,0.64,63.75,53.45,571.06,22.18,23.83,13.93,133.07,120.67,12.41,NA,NA,0,0,0,0,61.43,29.42,49.8,123.97,57.33,0,8.26,14.98,37.58,118.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",79,"9_1458","Nodo 3 - Pies inventariados",35,"IFN2",10,30,270.24,0,15.6,4.23,NA,0.16,14.11,14.8,172.09,6.14,2.94,2.94,0.18,43.57,41.49,99.38,99.05,106.44,3.5,12.17,10.72,1.45,0,0.36,0,0,0,0,0,0,9.34,10,5.09,0,2.22,5.96,7,20.27,NA,0.56,"Nodo 1 - Pies inventariados","IFN3",2003,31,63.66,0,0,1.03,NA,NA,14.36,14.36,162.04,7.41,3.11,3.11,0.05,51.61,51.61,24.14,169.16,181.77,7.41,3.6,3.15,0.45,NA,NA,0,0,0,0,0,0,3.06,3.05,1.5,0,0.46,1.18,1.71,4.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",80,"9_1459","Nodo 3 - Pies inventariados",35,"IFN2",10,32,996.41,0,27.33,25.24,NA,0.25,17.96,25.57,514.2,11.51,3.1,3.19,0.79,53.88,45,558.6,27.53,29.58,8.29,115.27,104.47,10.8,0,0.88,0,0,0,0,42.83,15.2,51.49,105.21,49.64,0,10.8,21.92,41.79,124.14,NA,0.73,"Nodo 1 - Pies inventariados","IFN3",2003,33,671.99,0,0,17.27,NA,NA,18.09,26.12,538.65,11.08,3.11,3.29,0.57,55.49,42.41,381.43,34.83,37.43,11.18,79.52,72.53,6.99,NA,NA,0,0,0,0,32.78,14.3,29.58,72.62,34.46,0,7.59,14.75,28.58,85.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",81,"9_1473","Nodo 3 - Pies inventariados",35,"IFN2",10,42,981.55,0,8.94,38.15,NA,0.1,22.25,29.13,667.85,12.81,3.58,3.68,1.04,52.05,43.98,800.17,24.92,26.77,9.44,200.8,185.96,14.84,0,0.36,0,0,0,2.37,109.44,87.89,53.51,186.73,88.36,0,16.48,28.76,63.14,196.74,NA,0.34,"Nodo 1 - Pies inventariados","IFN3",2003,43,795.77,0,0,25.95,NA,NA,20.38,29.59,690.37,12.29,3.37,3.54,0.78,50.13,41.53,556.4,28.84,30.99,12.52,128.64,119.22,9.42,NA,NA,0,0,0,4.83,64.91,42.72,34.69,119.24,56.65,0,11.78,21.88,42.95,133.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
