"","X","PLOT_ID","ID_escenario","Hoja_arboles.x","INVENTORY_ID_IFN2","Anho.x","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_dominante_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez.x","Esbeltez_dominante.x","SDI_IFN2","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_desenrollo.x","V_chapa.x","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_postes.x","V_estacas.x","V_trituracion_IFN2","WSW_IFN2","WTHICKB_IFN2","WB2_7_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","Hoja_arboles.y","INVENTORY_ID_IFN3","Anho.y","T_IFN3","N_IFN3","N_muerto_IFN3.x","N_incorporado_IFN3.x","G_IFN3","G_muerta_IFN3.x","G_incorporada_IFN3.x","dg_IFN3","Do_IFN3","Seccion_dominante_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez.y","Esbeltez_dominante.y","SDI_IFN3","Hart_IFN3","Hart_tresbolillo_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_muerto_IFN3.x","V_incorporado_IFN3.x","V_desenrollo.y","V_chapa.y","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_postes.y","V_estacas.y","V_trituracion_IFN3","WSW_IFN3","WTHICKB_IFN3","WB2_7_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","WT_muerta_IFN3.x","WT_incorporada_IFN3.x","G_incorporada_IFN3.y","N_incorporado_IFN3.y","V_incorporado_IFN3.y","WT_incorporada_IFN3.y","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3.y","N_muerto_IFN3.y","V_muerto_IFN3.y","WT_muerta_IFN3.y"
"82",82,"9_1474","Nodo 3 - Pies inventariados",35,"IFN2",10,33,1477.65,0,9.89,50.49,NA,0.11,20.86,28.49,638.4,14.54,3.18,3.25,1.23,62.41,51.03,1076.29,17.89,19.23,10.82,301.07,274.25,26.82,0,0.52,0,0,0,0,149.16,101.52,104.1,281.65,130.31,0,18.49,32.47,83.58,264.85,NA,0.35,"Nodo 1 - Pies inventariados","IFN3",2003,34,1213.11,0,0,38.26,NA,NA,20.04,29.61,690.31,15.13,3.07,3.17,0.96,68.11,51.08,823.83,18.98,20.39,15.1,240.39,218.15,22.25,NA,NA,0,0,0,7,118.61,92.61,87.3,224.86,103.65,0,13.31,23.19,63.34,203.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",83,"9_1475","Nodo 3 - Pies inventariados",35,"IFN2",10,30,907.04,0,15.77,13.3,NA,0.16,13.66,14.68,169.2,7.29,2.65,2.65,0.5,54.42,49.64,315.02,45.57,48.97,4.5,46.94,40.79,6.14,0,0.47,0,0,0,0,0,0,36.7,40.68,19.38,0,5.75,15.01,22.01,62.15,NA,0.52,"Nodo 1 - Pies inventariados","IFN3",2003,31,509.3,0,0,6.3,NA,NA,12.55,13.6,145.27,8.14,2.51,2.51,0.25,60.87,59.84,152.45,54.46,58.52,7.93,23.21,19.89,3.32,NA,NA,0,0,0,0,0,0,18.2,20.16,9.45,0,2.49,6.76,10.43,29.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",84,"9_1476","Nodo 3 - Pies inventariados",35,"IFN2",10,30,712.82,0,12.53,14.86,NA,0.14,16.29,18.34,264.12,8.52,3.1,3.11,0.54,48.65,46.45,336.98,43.97,47.25,5.5,55.03,49.07,5.96,0,0.41,0,0,0,0,0,0,40.13,48.99,23.32,0,6.9,16.05,24.6,70.86,NA,0.48,"Nodo 1 - Pies inventariados","IFN3",2003,31,413.8,0,0,9.94,NA,NA,17.48,18.83,278.56,9.89,3.31,3.32,0.36,54.09,52.53,221.33,49.71,53.42,10,43.66,39.04,4.63,NA,NA,0,0,0,0,2,0,27.93,39.7,18.55,0,4.16,8.9,16.45,48.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",85,"9_1477","Nodo 3 - Pies inventariados",35,"IFN2",10,30,853.16,0,25.55,15.81,NA,0.29,15.36,18.69,274.97,7.22,2.91,2.94,0.58,50.79,38.62,363.69,47.42,50.96,4.75,56.53,50,6.53,0,1.05,0,0,0,0,0,0,40.92,50.15,23.76,0,7.45,17.96,26.16,75.32,NA,0.91,"Nodo 1 - Pies inventariados","IFN3",2003,31,509.3,0,0,9.85,NA,NA,15.69,19.3,293.09,12.26,2.91,2.95,0.31,61.8,63.54,225.5,36.14,38.84,11.93,43.47,38.3,5.18,NA,NA,0,0,0,0,6.17,0,28.29,39.65,18.2,0,3.19,6.92,14.52,42.82,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"86",86,"9_1488","Nodo 3 - Pies inventariados",35,"IFN2",10,41,2680.72,0,24.61,76.75,NA,0.24,19.09,27.29,586.7,14.98,2.72,2.78,1.63,74.65,54.91,1672.47,12.89,13.85,11.15,504.92,451.67,53.24,0,1.38,0,0,0,2.31,212.36,137.26,228.03,473.1,214.61,0,24.48,44.06,127.03,410.17,NA,0.74,"Nodo 1 - Pies inventariados","IFN3",2003,42,2069.01,0,0,53.25,NA,NA,18.1,26.38,551.97,14.83,2.84,2.91,1.3,68.66,56.21,1175.92,14.83,15.93,14.7,320.45,287.42,33.03,NA,NA,0,0,0,2.49,139.43,69.32,142.45,298.53,136.57,0,21.15,52.91,86.82,297.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39265799,159.15,0.4790415,28.3840842
"87",87,"9_1489","Nodo 3 - Pies inventariados",35,"IFN2",10,40,763.94,0,0,39.49,NA,0,25.65,34.5,939.62,15.46,4,4.09,1.01,50.42,44.81,799.31,23.4,25.15,11.75,232.26,218.84,13.42,0,0,0,0,0,38.72,131.15,106.2,40.28,218.69,103.98,0.01,17.13,27.19,65.37,213.67,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,41,693.21,0,0,33.9,NA,NA,24.95,36.35,1042.49,15.39,4.23,4.35,1.03,39.28,42.35,690.9,24.67,26.51,15.52,178.04,170.03,8,NA,NA,0,0,0,52.65,88.45,70.54,21.63,166.48,80.79,0.08,33.13,108,56.11,278.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.86343903,173.3,1.0888596,111.6547062
"88",88,"9_1490","Nodo 3 - Pies inventariados",35,"IFN2",10,30,1389.88,0,24.69,29.79,NA,0.27,16.52,25.49,518.26,10.24,2.89,2.96,0.96,52.37,40.15,673.18,26.2,28.16,6.94,121.42,109.06,12.36,0,0.93,0,0,0,2.3,24.1,6.7,72.28,109.34,51.82,0,13.29,29.17,49.31,143.59,NA,0.85,"Nodo 1 - Pies inventariados","IFN3",2003,31,930.17,0,0,20.2,NA,NA,16.63,25.44,523.46,11.63,2.93,3.04,0.67,56.17,45.71,455.72,28.2,30.3,11.64,93.99,84.7,9.29,NA,NA,0,0,0,2.75,22.92,6.66,45.73,86.21,40.24,0,12.5,45.9,33.44,132.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02008784,127.32,0.1820676,37.0959552
"89",89,"9_1491","Nodo 3 - Pies inventariados",35,"IFN2",10,33,95.49,0,0,3.17,NA,0,20.56,20.47,331.97,7.94,4.2,4.22,0.13,38.77,38.77,67.82,128.96,138.58,5.17,11.23,10.38,0.86,0,0,0,0,0,0,4.37,0,4.45,10.11,4.93,0,1.76,3.6,5.25,15.54,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,34,77.81,0,0,2.91,NA,NA,21.84,21.79,374.57,10.84,4.31,4.32,0.11,49.74,49.74,61.42,104.61,112.41,10.84,14.07,12.92,1.15,NA,NA,0,0,0,0,5.99,0,4.62,13.1,6.14,0,1.3,2.38,4.82,14.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",90,"9_1507","Nodo 3 - Pies inventariados",35,"IFN2",10,47,1296.06,0,8.67,52.24,NA,0.1,22.65,28.89,656.43,17.56,3.21,3.28,1.09,73.9,60.8,1090.72,15.81,16.99,13.88,396.15,361.09,35.07,0,0.59,0,0,0,4.65,230.69,185.76,107.11,375.62,171.56,0,16.31,25.71,86.46,300.05,NA,0.31,"Nodo 1 - Pies inventariados","IFN3",2003,48,309.26,0,0,18.38,NA,NA,27.51,31.99,935.93,16.29,4.14,4.17,0.42,57.57,50.92,365.52,34.9,37.51,16.29,104.9,97.37,7.53,NA,NA,0,0,0,4.58,68.48,54.55,18.97,99.2,46.27,0,5.58,8.69,25.32,85.85,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"91",91,"9_1508","Nodo 3 - Pies inventariados",35,"IFN2",10,38,1064.57,0,0,39.63,NA,0,21.77,25.99,530.95,9.85,3.65,3.68,1.13,48.16,37.88,835.73,31.13,33.45,6.84,187.12,172.37,14.75,0,0,0,0,0,0,99.17,20.9,59.8,172.57,81.9,0,18.18,33.79,65.6,199.46,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,39,710.89,0,0,24.26,NA,NA,20.84,26.19,539.75,11.45,3.75,3.79,0.8,45.58,43.71,517.12,32.77,35.21,11.64,110.01,101.14,8.87,NA,NA,0,0,0,0,54.29,21.84,36.78,101.06,48.06,0,17.44,51.78,40.15,157.42,NA,NA,NA,NA,NA,NA,0,0,0,NA,1.76032632,95.49,0.4854075,43.6446594
"92",92,"9_1509","Nodo 3 - Pies inventariados",35,"IFN2",10,36,873.58,0,0,31.12,NA,0,21.3,26.03,535.83,11.76,3.59,3.62,0.9,52.76,45.19,659.86,28.76,30.91,8.47,158.13,144.78,13.35,0,0,0,0,0,2.27,73.91,21.76,56.86,146.62,68.79,0,13.06,23.99,51.51,157.35,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,37,785.16,0,0,26.17,NA,NA,20.6,25.96,539.38,14.26,3.4,3.43,0.73,62.85,54.95,559.56,25.02,26.88,14.15,156.28,141.69,14.6,NA,NA,0,0,0,4.86,73.7,28.93,61.81,146,67.32,0,9.44,16.99,43.32,137.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",93,"9_1524","Nodo 3 - Pies inventariados",35,"IFN2",10,40,459.78,0,0,23.25,NA,0,25.37,29.45,682.5,13.42,4.25,4.28,0.66,51.08,45.56,471.85,34.76,37.35,10.06,132.93,124.19,8.74,0,0,0,0,0,2.46,88.03,74.49,24.24,124.73,59.01,0,9.74,15.65,38.48,122.88,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,41,159.15,0,0,9.35,NA,NA,27.35,29.39,687.86,15.07,4.69,4.74,0.28,55.05,51.27,186.25,52.6,56.52,15.12,61.61,57.95,3.67,NA,NA,0,0,0,9.84,38.48,35.31,8.68,58.2,27.53,0,3.66,5.4,15.48,52.07,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"94",94,"9_1525","Nodo 3 - Pies inventariados",35,"IFN2",10,44,1145.92,0,0,46.42,NA,0,22.71,30.02,711.98,16.59,3.3,3.37,1.02,70.74,55.26,968.66,17.81,19.13,12.81,337.21,308.1,29.12,0,0,0,0,0,7.59,194.37,148.82,93.44,318.16,146.39,0,15.1,24.02,76.84,262.34,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,45,314.77,0,0,14.18,NA,NA,23.95,29.77,701.17,17.77,3.87,3.94,0.38,66.95,59.69,292.02,31.72,34.09,17.79,103.99,95.94,8.05,NA,NA,0,0,0,7.65,58.11,43.1,24.72,98.22,45.59,0,4.81,7.45,23.47,81.32,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"95",95,"9_1543","Nodo 3 - Pies inventariados",35,"IFN2",10,40,2907.86,0,28.92,44.92,NA,0.3,14.02,20.33,333.17,10.32,2.39,2.42,1.34,63.76,50.75,1057.39,17.97,19.31,7.13,192.38,167.1,25.28,0,1.11,0,0,0,0,6.49,3.01,146.58,171.01,79.4,0,16.95,41.1,74.35,211.79,NA,0.94,"Nodo 1 - Pies inventariados","IFN3",2003,41,2496.96,0,0,28.12,NA,NA,11.98,20.08,328.14,11.75,2.11,2.15,0.9,74.32,58.54,688.69,17.03,18.29,11.82,124.05,105.8,18.25,NA,NA,0,0,0,0,6.73,3.31,89.99,108.09,50.27,0,9.66,25.21,46.55,131.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",96,"9_1549","Nodo 3 - Pies inventariados",35,"IFN2",10,39,74.27,0,0,4.39,NA,0,27.42,27.2,590.4,10.2,5.31,5.34,0.17,37.51,37.51,87.29,113.73,122.21,7.26,19.7,18.84,0.86,0,0,0,0,0,2.29,11.26,6.83,2.58,18.3,8.95,0,2.38,3.89,7.26,22.48,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,40,56.59,0,0,3.98,NA,NA,29.92,29.76,702.96,11.23,5.75,5.77,0.15,37.73,37.73,77.48,118.4,127.23,11.23,19.43,18.73,0.7,NA,NA,0,0,0,2.47,12.23,10.36,1.71,18.23,8.9,0,2.12,3.24,6.58,20.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",97,"9_1568","Nodo 3 - Pies inventariados",35,"IFN2",10,30,398.04,0,16.07,6.48,NA,0.16,14.4,16.08,203.18,8.89,2.85,2.86,0.26,56.14,55.26,151.63,56.39,60.6,6,24.85,21.73,3.13,0,0.47,0,0,0,0,0,0,19.92,21.99,10.32,0,2.72,6.71,10.73,30.48,NA,0.48,"Nodo 1 - Pies inventariados","IFN3",2003,31,190.99,0,0,2.29,NA,NA,12.35,13.39,143.64,9.21,2.51,2.53,0.1,71.41,68.78,55.6,78.57,84.43,8.72,9.94,8.48,1.46,NA,NA,0,0,0,0,0,0,7.27,8.88,4.03,0,0.79,2.06,3.79,10.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",98,"9_1577","Nodo 3 - Pies inventariados",35,"IFN2",10,49,926.64,0,0,61.02,NA,0,28.96,35.91,1017.94,18.55,3.99,4.04,1.19,61.58,51.66,1198.26,17.71,19.03,14.31,476.79,448.46,28.33,0,0,0,0,0,103.85,302.45,234.15,50.98,453.63,213.08,0.06,21.28,29.27,101,364.7,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,50,767.48,0,0,51.66,NA,NA,29.28,36.3,1040.04,17.17,4.22,4.27,1.1,56.07,47.3,1011.7,21.02,22.59,17.26,370.64,350.73,19.9,NA,NA,0,0,0,79.5,225.37,185.72,37.8,352.14,166.64,0.08,19.63,27.4,85.51,299.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",99,"9_1580","Nodo 3 - Pies inventariados",35,"IFN2",10,28,1491.11,0,26.88,28.54,NA,0.28,15.61,21.15,351.56,8.81,2.78,2.82,0.93,56.11,41.65,654.11,29.4,31.59,5.87,116.06,102.57,13.49,0,1.05,0,0,0,0,8.43,0,81.44,103.52,48.74,0,12.08,27.72,47.24,135.78,NA,0.87,"Nodo 1 - Pies inventariados","IFN3",2003,29,760.41,0,0,15.2,NA,NA,15.95,22.44,395.94,9.77,2.82,2.93,0.51,64.72,43.55,346.36,37.11,39.88,9.74,70.97,62.92,8.06,NA,NA,0,0,0,0,13.29,0,42.94,64.31,29.89,0,6.02,12.74,25.15,73.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",100,"9_1587","Nodo 3 - Pies inventariados",35,"IFN2",10,25,302.09,0,15.61,5.21,NA,0.15,14.82,16.16,205.68,7.44,2.99,3.01,0.21,49.71,46.02,120.99,77.35,83.12,4.92,17.95,15.82,2.13,0,0.44,0,0,0,0,0,0,12.51,15.44,7.52,0,2.43,6.04,8.63,24.61,NA,0.47,"Nodo 1 - Pies inventariados","IFN3",2003,26,127.32,0,0,2.97,NA,NA,17.23,17.86,251.22,9.42,3.46,3.48,0.09,54.12,52.76,66.36,94.04,101.05,9.28,9.04,8.08,0.96,NA,NA,0,0,0,0,0,0,6.07,8.18,3.84,0,0.96,2.1,3.64,10.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",101,"9_1589","Nodo 3 - Pies inventariados",35,"IFN2",10,40,417.34,0,0,17.96,NA,0,23.41,29.17,670.17,12.17,4.08,4.19,0.58,45.57,41.71,372,40.23,43.23,8.76,85.97,80.65,5.32,0,0,0,0,0,2.42,48.88,29.22,19.11,79.7,38.32,0,8.65,14.92,29.73,91.62,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,41,233.43,0,0,13.08,NA,NA,26.71,30.83,750.04,12.38,4.69,4.79,0.42,44.29,40.15,262.04,52.88,56.82,12.48,67.22,63.86,3.37,NA,NA,0,0,0,7.22,39.69,35.31,10.42,62.8,30.34,0,6.36,10.02,21.65,68.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",102,"9_1595","Nodo 3 - Pies inventariados",35,"IFN2",10,40,2138.64,0,23.64,60.9,NA,0.23,19.04,26.68,559.95,10.62,3.04,3.12,1.64,52.32,39.82,1328.11,20.35,21.87,7.37,275.22,250.17,25.04,0,0.89,0,0,0,0,97.45,18.34,123.28,251.86,118.87,0,26.83,52.88,100.81,299.38,NA,0.72,"Nodo 1 - Pies inventariados","IFN3",2003,41,834.68,0,0,29.46,NA,NA,21.2,26.89,569.04,11.14,3.63,3.67,0.88,49.85,41.43,625.46,31.07,33.39,11.17,139.88,128.44,11.44,NA,NA,0,0,0,0,68.15,14.74,50.29,129.26,61.03,0,13.11,24.38,48.77,147.27,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"103",103,"9_1596","Nodo 3 - Pies inventariados",35,"IFN2",10,47,541.13,0,0,32.01,NA,0,27.45,33.13,870.94,15.55,4.28,4.33,0.8,54.31,46.94,637.13,27.64,29.7,11.37,209.34,197.08,12.26,0,0,0,0,0,27.92,129,109.88,28.07,198,93.64,0.05,12.68,18.73,52.99,178.08,NA,0,"Nodo 1 - Pies inventariados","IFN3",2003,48,385.51,0,0,26.6,NA,NA,29.64,33.83,899.97,15.56,4.56,4.6,0.52,52.02,45.99,519.35,32.74,35.18,15.64,140.56,132.94,7.62,NA,NA,0,0,0,24.89,91.87,71.19,15.13,133.38,63.16,0,8.11,11.62,34.11,116.99,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"104",104,"9_1602","Nodo 3 - Pies inventariados",35,"IFN2",10,35,2856.74,0,23.79,77.06,NA,0.24,18.53,25.76,521.09,12.73,2.78,2.84,1.82,62.78,49.43,1691.85,14.7,15.79,9.12,417.45,375.2,42.25,0,1,0,0,0,0,151.53,64.63,201.09,385.53,178.27,0,28.55,55.07,127.55,389.44,NA,0.75,"Nodo 1 - Pies inventariados","IFN3",2003,36,2412.08,0,0,56.96,NA,NA,17.34,24.59,476.63,12.31,2.68,2.79,1.48,64.96,50.08,1271.6,16.53,17.77,12.35,303.48,271.41,32.07,NA,NA,0,0,0,0,108.59,37.18,150.51,279.04,128.95,0,25.03,56.74,94.29,305.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18261182,31.83,0.4325697,23.3638566
"105",105,"9_1608","Nodo 3 - Pies inventariados",35,"IFN2",10,27,1700.07,0,13.03,31.53,NA,0.15,15.37,18.63,272.65,9.25,2.72,2.74,1,58.46,49.67,725.46,26.21,28.16,6.37,132.84,116.67,16.17,0,0.54,0,0,0,0,1.84,0,101.41,118.92,55.44,0,12.69,29.53,52.19,149.84,NA,0.47,"Nodo 1 - Pies inventariados","IFN3",2003,28,636.62,0,0,14.96,NA,NA,17.3,20.77,338.95,11.23,3.1,3.14,0.49,62.27,54.09,334.22,35.28,37.91,11.33,74.72,66.45,8.26,NA,NA,0,0,0,0,15.02,0,43.77,68.36,31.57,0,5.65,11.67,24.77,73.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",106,"9_1609","Nodo 3 - Pies inventariados",35,"IFN2",10,42,1965.55,0,23.86,55.97,NA,0.23,19.04,24.61,475.81,11.33,3.04,3.09,1.48,55.28,46.05,1220.53,19.9,21.39,8,272.85,247.13,25.72,0,0.79,0,0,0,0,99.25,17.21,125.57,251.17,117.42,0,22.95,44.87,92.64,277.88,NA,0.75,"Nodo 1 - Pies inventariados","IFN3",2003,43,1556.18,0,0,39.85,NA,NA,18.06,24.22,461.08,10.56,3.08,3.14,1.21,48.37,43.62,880.61,24,25.79,10.63,179.64,163.06,16.58,NA,NA,0,0,0,0,68,0,81.28,164.81,77.48,0,23.6,80.58,65.96,247.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.84715856,286.47,0.3784587,59.5007739
"107",107,"9_1617","Nodo 3 - Pies inventariados",35,"IFN2",10,38,1576.46,0,9.67,59.93,NA,0.11,22,31.01,756.57,16.15,3.26,3.34,1.38,61.41,52.09,1260.52,15.59,16.75,12.12,368.23,337.6,30.63,0,0.46,0,0,0,16.48,191.92,147.99,114.43,345.29,160.41,0,22.34,37.93,99.2,319.88,NA,0.32,"Nodo 1 - Pies inventariados","IFN3",2003,39,1206.04,0,0,45.04,NA,NA,21.81,33.63,888.86,15.05,3.51,3.62,1.24,51.87,44.76,949.39,19.13,20.56,14.95,256.02,237.33,18.69,NA,NA,0,0,0,27.4,136.48,99.36,66.41,239.81,112.76,0,34.63,113,74.55,334.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.71809413,254.64,0.9545817,112.4515704
"108",108,"9_1620","Nodo 3 - Pies inventariados",35,"IFN2",10,25,443.39,0,29.59,6.31,NA,0.31,13.46,15.24,184.6,7.08,2.72,2.74,0.26,49.25,46.43,150.01,67.1,72.11,4.4,19.8,17.28,2.52,0,0.89,0,0,0,0,0,0,14.56,17.06,8.21,0,3.02,8.14,10.44,29.82,NA,1.02,"Nodo 1 - Pies inventariados","IFN3",2003,26,127.32,0,0,2.23,NA,NA,14.95,15.36,187.37,6.61,3.15,3.17,0.1,44.33,43.06,51.75,134,143.99,6.58,6.94,6.16,0.78,NA,NA,0,0,0,0,0,0,5.18,6.01,2.93,0,1.15,2.93,3.7,10.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",109,"9_1626","Nodo 3 - Pies inventariados",35,"IFN2",10,36,2374.9,0,22.94,60.82,NA,0.25,18.06,26.61,557.03,12.38,2.84,2.91,1.58,58.31,46.54,1344.05,16.57,17.81,8.94,297.93,268.31,29.62,0,1.01,0,0,0,0,89.79,36.87,151.3,274.03,127.48,0,24.35,48.69,100.67,301.19,NA,0.78,"Nodo 1 - Pies inventariados","IFN3",2003,37,1191.89,0,0,26.17,NA,NA,16.72,25.52,512.58,11.36,2.99,3.07,0.88,48.34,44.54,589.45,25.49,27.39,11.52,113.2,102.4,10.79,NA,NA,0,0,0,0,37.49,16.37,52.14,103.13,48.66,0,19.65,79.16,43.31,190.77,NA,NA,NA,NA,NA,NA,0,0,0,NA,2.2128216,254.64,0.458352,72.34959
