"","X","PLOT_ID","Hoja_arboles.x","INVENTORY_ID_IFN2","simanfor.plot.MARTONNE_1","simanfor.plot.MARTONNE_2","simanfor.plot.MARTONNE_3","simanfor.plot.MARTONNE_4","Anho.x","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_dominante_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez.x","Esbeltez_dominante.x","SDI_IFN2","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_desenrollo.x","V_chapa.x","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_postes.x","V_estacas.x","V_trituracion_IFN2","WSW_IFN2","WTHICKB_IFN2","WB2_7_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","Hoja_arboles.y","INVENTORY_ID_IFN3","Anho.y","T_IFN3","N_IFN3","N_muerto_IFN3.x","N_incorporado_IFN3.x","G_IFN3","G_muerta_IFN3.x","G_incorporada_IFN3.x","dg_IFN3","Do_IFN3","Seccion_dominante_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez.y","Esbeltez_dominante.y","SDI_IFN3","Hart_IFN3","Hart_tresbolillo_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_muerto_IFN3.x","V_incorporado_IFN3.x","V_desenrollo.y","V_chapa.y","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_postes.y","V_estacas.y","V_trituracion_IFN3","WSW_IFN3","WTHICKB_IFN3","WB2_7_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","WT_muerta_IFN3.x","WT_incorporada_IFN3.x","G_incorporada_IFN3.y","N_incorporado_IFN3.y","V_incorporado_IFN3.y","WT_incorporada_IFN3.y","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3.y","N_muerto_IFN3.y","V_muerto_IFN3.y","WT_muerta_IFN3.y"
"1",1,"40_1022","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,35,1071.93,12.67,140.27,35.97,0.01,4.89,20.67,30.42,731.48,13.21,3.27,3.41,0.98,58.85,43.43,768.39,23.12,24.84,11.87,196.2,180.17,16.04,0.04,26.08,0,0,0,6.14,93.94,73.9,65.16,182.54,85.6,0,14.54,25.52,59.53,185.19,0.04,23.27,"Nodo 1 - Pies inventariados","IFN3",2004,37,802.85,0,0,32.94,NA,NA,22.85,34.35,935.28,14.53,3.5,3.7,0.86,58.33,42.29,686.19,24.29,26.1,14.44,196.56,183.4,13.16,NA,NA,0,0,0,26.65,96.65,75.22,49.12,184.45,87.14,0.02,13.34,21.2,54.52,176.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61619697,31.83,3.6088854,3.0926028
"2",2,"40_1033","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,35,1239.92,10.6,185.95,29.89,0,6.02,17.52,25.13,498.72,10.3,3.04,3.14,0.96,49.72,40.96,665.59,27.58,29.64,8.71,121.9,110.5,11.4,0.02,25.41,0,0,0,0,38.96,0,60.25,110.22,52.5,0,13.99,29.63,49.48,145.6,0.03,28.09,"Nodo 1 - Pies inventariados","IFN3",2004,37,700.28,0,0,22.43,NA,NA,20.19,26.48,555.81,11.66,3.48,3.54,0.69,55.19,44.04,482.01,32.4,34.82,11.47,113.31,103.28,10.03,NA,NA,0,0,0,2.26,44.83,12.33,46.44,104.8,49.07,0,9.32,17.43,37.13,112.95,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"3",3,"40_1062","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,38,1130.7,8.4,120.51,18.54,0,2.15,14.45,20.84,341.3,7.87,2.73,2.8,0.7,44.86,37.75,433.15,37.8,40.61,6.87,56.62,50.4,6.22,0.02,6.46,0,0,0,0,4.87,0,35.63,48.69,23.95,0,9.79,24.99,30.69,89.41,0.02,9.8,"Nodo 1 - Pies inventariados","IFN3",2004,40,679.06,0,0,16.67,NA,NA,17.68,22.88,415.29,9.74,3.23,3.31,0.58,49.6,42.57,370.29,39.4,42.34,9.72,65.97,59.69,6.27,NA,NA,0,0,0,0,10.24,0,34.38,59.49,28.36,0,7.94,16.82,27.59,80.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"40_1089","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,42,456.77,1.97,126.28,14.87,0,5.05,20.36,25,491.95,8.23,3.81,3.86,0.54,41.49,32.94,318.97,56.82,61.06,7.79,55.65,51.34,4.31,0.03,18.02,0,0,0,0,15.99,0,23.19,50.48,24.39,0,7.97,15.94,24.62,72.92,0.04,23.41,"Nodo 1 - Pies inventariados","IFN3",2004,44,275.87,0,0,10.5,NA,NA,22.02,24.85,491.34,10.52,4.07,4.12,0.33,47.26,42.33,220.88,57.25,61.52,10.59,42.58,39.4,3.18,NA,NA,0,0,0,0,21.57,2.71,14.08,39.34,18.72,0,4.41,8.02,15.42,46.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"40_1141","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,29,941.04,5.92,119.37,31.55,0,4.74,20.66,25.99,531.55,11.44,3.47,3.52,0.92,54.16,44.02,674.12,28.49,30.62,10.19,157.89,144.08,13.8,0.02,22.83,0,0,0,0,62.72,20.2,63.99,146.28,68.46,0,13.26,24.56,52.22,158.5,0.02,22.29,"Nodo 1 - Pies inventariados","IFN3",2004,31,650.77,0,0,29.92,NA,NA,24.19,31.2,766.88,14.38,3.85,3.91,0.78,58.3,46.09,614.53,27.26,29.29,14.51,187.56,173.81,13.75,NA,NA,0,0,0,14.03,113.51,88.49,43.08,176.7,82.58,0,11.44,18.24,49.52,161.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"40_1145","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,38,528.65,3.06,86.08,22.9,0,3.82,23.48,30.52,734.64,11,4.03,4.12,0.71,47.42,36.03,473.85,39.55,42.5,9.81,110.63,103.32,7.31,0.03,17.9,0,0,0,8.58,58.65,20.77,28.39,102.48,49.09,0,10.89,18.64,37.9,116.53,0.03,18.03,"Nodo 1 - Pies inventariados","IFN3",2004,40,205.13,0,0,12.58,NA,NA,27.95,32.66,846.96,12.25,4.83,4.97,0.4,45.92,37.49,249.31,57.02,61.27,12.48,68.09,64.98,3.11,NA,NA,0,0,0,17.6,35.88,32.79,10.02,63.8,30.87,0,6.11,9.15,20.83,66.96,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"7",7,"40_1396","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,28,29.31,0.12,0,3.41,0,0,38.51,37.15,1164.88,8.82,7.47,7.73,0.14,23.74,23.74,62.42,209.39,225.01,8.12,12.82,13.1,-0.28,0.01,0,0,0,0,7.59,2.5,0,0.36,11.81,6.22,0.58,2.78,3.78,5.65,19.02,0.02,0,"Nodo 1 - Pies inventariados","IFN3",2004,30,10.19,0,0,2.4,NA,NA,54.73,54.69,2352.43,9.96,11.05,11.06,0.1,18.21,18.21,40.13,314.64,338.1,9.96,9.25,9.83,-0.57,NA,NA,0,0,2.2,6.84,0,0,0,8.62,4.67,1.29,2.23,2.54,3.97,14.7,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"8",8,"40_1808","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,35,2560.88,27.41,169.14,28.42,0.01,2.41,11.89,17.15,231.68,7.81,2.18,2.24,1,56.8,45.55,697.23,25.29,27.18,7,92.42,79.6,12.81,0.02,7.71,0,0,0,0,0,0,63.6,78.04,37.82,0,12.59,35.32,47.04,132.77,0.04,10.73,"Nodo 1 - Pies inventariados","IFN3",2004,37,1114.08,0,0,18.99,NA,NA,14.73,20.88,343.18,10.24,2.7,2.78,0.68,47.7,49.04,441.63,29.26,31.44,10.19,70.16,62.74,7.43,NA,NA,0,0,0,0,12.61,0,39.15,62.29,29.81,0,9.37,24.25,31.44,94.87,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"9",9,"42_1194","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,32,1120.35,9.09,142.68,15.63,0,2.37,13.33,19.7,305.42,8.88,2.49,2.56,0.58,54.95,45.08,372.74,33.64,36.14,7.87,55.26,48.41,6.86,0.02,8.37,0,0,0,0,5.06,0,37.08,48.23,23,0,6.94,17.82,25.88,73.64,0.02,10.34,"Nodo 1 - Pies inventariados","IFN3",2004,34,1779,0,0,21.71,NA,NA,12.47,21.16,354.82,10.76,2.64,2.73,0.44,68.36,50.87,526.33,22.03,23.67,10.66,62.98,55.5,7.48,NA,NA,0,0,0,0,12.23,0,39.86,56.66,26.37,0,5.17,11.38,22.46,65.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"42_124","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,22,303.66,1.19,113.86,5.2,0,1.85,14.76,15.51,189.03,6.58,3.04,3.04,0.22,42.94,42.44,120.76,87.16,93.66,5.87,15.36,13.61,1.75,0.01,5.37,0,0,0,0,0,0,11.5,13.12,6.46,0,2.74,7.13,8.6,24.93,0.01,8.1,"Nodo 1 - Pies inventariados","IFN3",2004,24,222.82,0,0,6.45,NA,NA,19.2,20.71,337.67,10.14,3.69,3.7,0.24,51.71,48.99,140.39,66.04,70.97,10.04,29.26,26.48,2.78,NA,NA,0,0,0,0,6.64,0,14.77,26.76,12.58,0,2.77,5.57,10.68,31.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,"42_586","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,28,896.94,5.45,170.28,10.26,0.01,2.42,12.07,15.35,185.3,5.71,2.43,2.46,0.43,44.47,37.19,250.68,58.48,62.84,5.07,26.18,22.76,3.42,0.02,6.2,0,0,0,0,0,0,18.06,21.34,10.81,0,5.53,16.48,16.98,49.8,0.03,11.08,"Nodo 1 - Pies inventariados","IFN3",2004,30,254.65,0,0,5.02,NA,NA,15.84,18.17,259.85,8.19,3.17,3.2,0.2,48.31,45.05,114.61,76.55,82.26,8.02,17.96,16,1.95,NA,NA,0,0,0,0,0,0,12.55,15.95,7.6,0,2.38,5.62,8.31,23.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"42_828","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,30,427.31,3.17,48.51,3.08,0,0.33,9.57,11.26,99.56,4.96,2.04,2.06,0.14,48.85,44.06,79.66,97.51,104.78,4.5,7.08,5.96,1.11,0.02,0.75,0,0,0,0,0,0,4.13,5.03,2.83,0,1.56,5.5,5.09,14.98,0.04,1.45,"Nodo 1 - Pies inventariados","IFN3",2004,32,286.48,0,0,3.39,NA,NA,12.28,13.01,135.06,7.49,2.51,2.53,0.14,61.96,57.6,82.53,78.85,84.73,7.43,12.42,10.62,1.8,NA,NA,0,0,0,0,0,0,8.96,10.59,5.05,0,1.34,3.65,5.61,15.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,"5_1030","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,29,1108.38,9.26,198.08,24.35,0,6.36,16.73,26.36,547.99,8.64,2.97,3.11,0.84,46.53,32.78,548.56,34.77,37.36,7.3,86.06,78.23,7.83,0.03,22.68,0,0,0,0,16.64,0,42.57,76.58,37.17,0,12.7,27.84,40.31,118.03,0.03,29.9,"Nodo 1 - Pies inventariados","IFN3",2002,29,1174.21,0,0,37.3,NA,NA,20.11,29.7,697.13,13.31,3.1,3.29,1,60.8,44.81,802.34,21.93,23.56,13.41,211.15,193.94,17.22,NA,NA,0,0,0,4.96,114.83,80.24,61.41,196.6,92.15,0,14.81,25.96,61.74,194.66,NA,NA,16.17930733,509.34,95.059489,85.4584492,NA,NA,NA,NA,2.58045736,187.45,14.1174169,12.8225831
"16",16,"5_1035","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,45,569.39,4.28,74.99,26.22,0,3.57,24.21,34.29,925.31,11.57,4.07,4.22,0.79,44.74,33.75,538.4,36.21,38.91,10.12,123.8,116.95,6.86,0.02,16.45,0,0,0,18.13,58.81,29.78,28.05,114.92,55.57,0,13.21,22.02,43.4,134.19,0.03,17.06,"Nodo 1 - Pies inventariados","IFN3",2002,45,611.86,0,0,37.29,NA,NA,27.85,38.41,1165.17,14.66,4.3,4.44,0.95,50.04,38.16,739.31,27.58,29.64,14.66,222.62,211.99,10.63,NA,NA,0,0,0,57.57,116.06,93.03,32.08,209.64,100.72,0.21,16.62,24.29,61.71,203.55,NA,NA,8.89629855,187.48,52.4556245,47.40466,NA,NA,NA,NA,0.7198105,14.15,4.3727745,3.8608275
"17",17,"5_1037","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,30,1778.77,15.47,139.04,24.74,0.01,2.26,13.31,18.66,273.49,6.94,2.48,2.54,0.9,48.22,37.21,590.13,34.15,36.7,6.37,75.93,66.68,9.26,0.02,6.93,0,0,0,0,0,0,53.35,64.62,31.68,0,12.26,32.85,40.96,117.75,0.04,10.23,"Nodo 1 - Pies inventariados","IFN3",2002,30,594.18,0,0,16.03,NA,NA,18.53,23.05,417.68,8.89,3.45,3.52,0.58,42.5,38.55,351.9,46.17,49.61,8.89,58.36,53.38,4.98,NA,NA,0,0,0,0,13.5,0,26.84,52.64,25.36,0,8.45,18.05,26.53,78.4,NA,NA,3.67796746,102.58,13.9943978,18.228563,0,0,0,NA,NA,NA,NA,NA
"18",18,"5_390","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,20,300.61,2.06,48.03,2.19,0,0.33,9.64,10.41,85.04,4.96,2.08,2.09,0.1,51.63,47.62,56.7,116.4,125.08,4.5,5.35,4.49,0.86,0.02,0.79,0,0,0,0,0,0,3.02,4.17,2.13,0,1.06,3.67,3.63,10.49,0.04,1.41,"Nodo 1 - Pies inventariados","IFN3",2002,20,1559.72,0,0,13.11,NA,NA,10.35,15.65,194.37,5.64,2.06,2.11,0.55,45.87,36.03,333.05,44.92,48.27,5.5,30.45,26.12,4.33,NA,NA,0,0,0,0,0,0,17.6,22.61,12.41,0,7.18,23.73,21.7,65.03,NA,NA,11.55559503,1400.52,26.4185817,57.5737857,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,"5_614","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,25,977.89,6.68,125.14,15.84,0,2.1,14.36,18.24,261.55,7.46,2.75,2.79,0.6,47.72,40.93,370.71,42.84,46.04,7.53,51.15,45.16,5.99,0.01,6.64,0,0,0,0,0,0,37.41,44.3,21.46,0,7.76,19.81,26.22,75.25,0.01,9.25,"Nodo 1 - Pies inventariados","IFN3",2002,25,1106.59,0,0,20.81,NA,NA,15.48,25.63,575.28,9.81,2.63,2.71,0.57,49.39,38.27,478.04,30.65,32.94,9.59,53.3,47.15,6.15,NA,NA,0,0,0,0,4.14,0,35.17,46.56,22.4,0,7.47,18.54,25.92,74.34,NA,NA,2.40233742,254.64,6.2364519,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,"5_615","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,30,1340.52,13.95,173.18,31.73,0,6.02,17.36,29.39,683.19,8.36,3.05,3.21,1.08,41.91,28.44,708.07,32.67,35.11,6.65,103.44,95.04,8.4,0.02,19.33,0,0,0,0,28.16,0,46.87,91.58,45.16,0,18.5,40.05,52.52,156.22,0.02,29.45,"Nodo 1 - Pies inventariados","IFN3",2002,30,548.2,0,0,30.22,NA,NA,26.49,36.56,1063.72,11.06,4.45,4.59,0.91,40.03,30.25,606.8,38.61,41.49,10.94,137.59,131.66,5.93,NA,NA,0,0,0,25.35,69.72,27.72,23.68,127.54,62.56,0.23,16.56,26.58,50.02,155.95,NA,NA,6.27488825,113.2,29.440773,32.14597,0,0,0,NA,0.92638032,31.83,4.1296242,4.5236796
"21",21,"5_667","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,30,312.07,1.2,111.67,11.81,0,4.43,21.95,26.59,560.55,7.99,4.19,4.27,0.45,34.42,30.05,248.58,70.84,76.12,7.35,39.4,37.06,2.34,0.01,14.45,0,0,0,0,15.28,0,11.64,35.42,17.61,0,7.4,14.51,19.55,59.06,0.02,20.74,"Nodo 1 - Pies inventariados","IFN3",2002,30,102.57,0,0,6.73,NA,NA,28.9,28.33,665.39,8.81,5.49,5.64,0.26,31.16,31.09,132.21,112.09,120.45,8.76,25.85,25.2,0.65,NA,NA,0,0,0,5.08,12.91,3.19,2.9,23.74,11.97,0.01,4.49,7.22,11.14,34.82,NA,NA,0.93602481,31.83,2.8538778,4.6118487,0,0,0,NA,NA,NA,NA,NA
"22",22,"5_669","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,25,814.3,4.87,150.72,11.69,0.01,2.25,13.52,17.48,240.13,6.3,2.7,2.75,0.48,38.27,36.04,277.65,55.64,59.79,5.37,28.54,25.34,3.2,0.02,5.37,0,0,0,0,0,0,19.24,23.12,12.04,0,7.12,20.11,19.34,58.61,0.03,10.73,"Nodo 1 - Pies inventariados","IFN3",2002,25,845.29,0,0,21.58,NA,NA,18.03,25,494.37,8.81,3.29,3.39,0.76,42.48,35.26,477.15,39.02,41.93,8.81,75.29,68.89,6.4,NA,NA,0,0,0,0,18.23,0,36.6,67.05,32.73,0,11.85,25.83,35.73,106.14,NA,NA,11.80305444,498.69,41.8477388,57.4653083,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,"5_670","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,25,1041.7,7.16,157.6,11.53,0,2.44,11.87,17.04,228.84,6.03,2.38,2.44,0.49,39.69,35.36,282.99,51.41,55.24,4.87,26.08,22.86,3.22,0.02,5.73,0,0,0,0,0,0,16.95,20.39,10.86,0,7.01,21.63,19.09,58.59,0.03,11.77,"Nodo 1 - Pies inventariados","IFN3",2002,25,880.66,0,0,21.19,NA,NA,17.5,23.61,438.71,8.37,3.28,3.35,0.77,38.64,35.45,471.95,40.26,43.26,8.35,66,60.31,5.69,NA,NA,0,0,0,0,11.64,0,34.8,58.17,28.66,0,12.43,28.58,35.08,104.75,NA,NA,13.10060759,615.39,38.5703412,64.9118953,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,"5_672","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,30,156.32,0.59,40.19,9.82,0,2.14,28.29,31.61,799.04,8.21,5.35,5.5,0.37,29.84,25.96,194.04,97.46,104.73,7.5,34.12,33.26,0.86,0.02,7.32,0,0,0,6.51,15.77,0,4.29,31.07,15.8,0,7.01,11.55,16.26,50.63,0.03,10.22,"Nodo 1 - Pies inventariados","IFN3",2002,30,254.22,0,0,9.07,NA,NA,21.31,31.05,789.1,10.07,6,6.1,0.28,39.64,32.43,192.21,62.29,66.94,9.63,33.23,32.63,0.59,NA,NA,0,0,0,11.8,16.87,9.76,2.38,30.81,15.5,0.28,4.99,7.36,12.88,41.01,NA,NA,2.07759704,173.3,4.1758065,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,"5_707","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,28,1002.18,6.36,152.64,27.4,0,5.43,18.66,24.65,479.26,10.51,3.3,3.36,0.89,47.6,42.63,600.53,30.06,32.3,8.59,111.7,101.7,10.01,0.02,23.09,0,0,0,0,33.16,6.95,53.98,101.23,48.32,0,12.97,26.77,45.35,133.41,0.02,25.26,"Nodo 1 - Pies inventariados","IFN3",2002,28,901.88,0,0,36.64,NA,NA,22.74,30.35,726.55,14.07,3.59,3.66,0.95,57.06,46.36,764.21,23.66,25.43,14.07,217.05,200.37,16.68,NA,NA,0,0,0,5.22,123.83,92.89,58.48,203.39,95.2,0,14.28,24.02,60.64,194.14,NA,NA,12.56949364,258.23,77.0454149,67.6566257,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,"5_708","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,41,1087.71,7.97,165.51,30,0,5.55,18.74,25.83,524.66,9.36,3.28,3.37,0.97,45.86,36.24,656.79,32.39,34.8,7.97,116.8,106.81,9.99,0.02,21.17,0,0,0,0,41.64,0,51.03,105.6,50.75,0,15,30.78,49.65,146.18,0.02,25.91,"Nodo 1 - Pies inventariados","IFN3",2002,41,838.22,0,0,27.57,NA,NA,20.47,27.18,581.98,10.61,3.55,3.64,0.87,46.71,39.03,590.54,32.57,34.99,10.51,119.16,109.79,9.37,NA,NA,0,0,0,0,54.25,9.33,42.4,109.41,52.17,0,13.4,25.88,45.64,137.09,NA,NA,5.43546873,145.03,23.9530136,27.2325316,NA,NA,NA,NA,0.45561462,31.83,1.9693221,2.1316551
