"","X","PLOT_ID","Hoja_arboles.x","INVENTORY_ID_IFN2","simanfor.plot.MARTONNE_1","simanfor.plot.MARTONNE_2","simanfor.plot.MARTONNE_3","simanfor.plot.MARTONNE_4","Anho.x","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_dominante_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez.x","Esbeltez_dominante.x","SDI_IFN2","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_desenrollo.x","V_chapa.x","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_postes.x","V_estacas.x","V_trituracion_IFN2","WSW_IFN2","WTHICKB_IFN2","WB2_7_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","Hoja_arboles.y","INVENTORY_ID_IFN3","Anho.y","T_IFN3","N_IFN3","N_muerto_IFN3.x","N_incorporado_IFN3.x","G_IFN3","G_muerta_IFN3.x","G_incorporada_IFN3.x","dg_IFN3","Do_IFN3","Seccion_dominante_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez.y","Esbeltez_dominante.y","SDI_IFN3","Hart_IFN3","Hart_tresbolillo_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_muerto_IFN3.x","V_incorporado_IFN3.x","V_desenrollo.y","V_chapa.y","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_postes.y","V_estacas.y","V_trituracion_IFN3","WSW_IFN3","WTHICKB_IFN3","WB2_7_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","WT_muerta_IFN3.x","WT_incorporada_IFN3.x","G_incorporada_IFN3.y","N_incorporado_IFN3.y","V_incorporado_IFN3.y","WT_incorporada_IFN3.y","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3.y","N_muerto_IFN3.y","V_muerto_IFN3.y","WT_muerta_IFN3.y"
"82",82,"9_1474","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,33,1623.32,18.86,174.42,41.31,0,5.79,18,25.75,521.39,12.28,2.9,2.99,1.14,60.5,47.68,913.65,20.21,21.72,10.82,209.57,188.72,20.85,0.03,29.79,0,0,0,0,69.63,33.78,99.75,192.85,89.67,0,16.11,31.73,68.38,205.89,0.03,27.45,"Nodo 1 - Pies inventariados","IFN3",2003,34,1213.11,0,0,38.26,NA,NA,20.04,29.61,690.31,15.13,3.07,3.17,0.96,68.11,51.08,823.83,18.98,20.39,15.1,240.39,218.15,22.25,NA,NA,0,0,0,7,118.61,92.61,87.3,224.86,103.65,0,13.31,23.19,63.34,203.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",83,"9_1475","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,30,924.83,6.4,39.95,7.7,0,0.32,10.29,11.3,100.32,5,2.13,2.13,0.33,50.06,44.25,195.74,65.75,70.66,4.5,19.35,16.37,2.98,0.02,0.79,0,0,0,0,0,0,11.73,15.23,7.78,0,3.77,12.6,12.74,36.89,0.03,1.42,"Nodo 1 - Pies inventariados","IFN3",2003,31,509.3,0,0,6.3,NA,NA,12.55,13.6,145.27,8.14,2.51,2.51,0.25,60.87,59.84,152.45,54.46,58.52,7.93,23.21,19.89,3.32,NA,NA,0,0,0,0,0,0,18.2,20.16,9.45,0,2.49,6.76,10.43,29.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",84,"9_1476","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,30,857.11,4.66,161.48,11.56,0.01,2.29,13.1,15.05,177.84,6.32,2.62,2.64,0.47,43.67,41.98,276.68,54.08,58.11,5.5,31.66,27.72,3.94,0.01,6.34,0,0,0,0,0,0,23.24,26.66,13.17,0,6.12,17.41,19.13,55.83,0.03,10.31,"Nodo 1 - Pies inventariados","IFN3",2003,31,413.8,0,0,9.94,NA,NA,17.48,18.83,278.56,9.89,3.31,3.32,0.36,54.09,52.53,221.33,49.71,53.42,10,43.66,39.04,4.63,NA,NA,0,0,0,0,2,0,27.93,39.7,18.55,0,4.16,8.9,16.45,48.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",85,"9_1477","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,30,987.68,5.94,166.02,11.85,0,2.38,12.36,15.9,198.58,5.03,2.47,2.51,0.49,44.6,31.63,287.99,63.26,67.98,4.75,30.17,26.25,3.92,0,5.86,0,0,0,0,0,0,21.07,24.67,12.47,0,6.7,19.83,19.62,58.62,0.02,11.29,"Nodo 1 - Pies inventariados","IFN3",2003,31,509.3,0,0,9.85,NA,NA,15.69,19.3,293.09,12.26,2.91,2.95,0.31,61.8,63.54,225.5,36.14,38.84,11.93,43.47,38.3,5.18,NA,NA,0,0,0,0,6.17,0,28.29,39.65,18.2,0,3.19,6.92,14.52,42.82,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"86",86,"9_1488","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,41,2807.63,54.54,206.05,58.19,0,6.37,16.24,24.57,477.31,12.82,2.47,2.55,1.43,74.48,52.18,1320.36,14.72,15.82,11.15,328.7,289.96,38.73,0.03,34.85,0,0,0,0,78.98,37.63,198.45,301.81,137.77,0,19.5,39.39,96.32,292.98,0.03,30.65,"Nodo 1 - Pies inventariados","IFN3",2003,42,2069.01,0,0,53.25,NA,NA,18.1,26.38,551.97,14.83,2.84,2.91,1.3,68.66,56.21,1175.92,14.83,15.93,14.7,320.45,287.42,33.03,NA,NA,0,0,0,2.49,139.43,69.32,142.45,298.53,136.57,0,21.15,52.91,86.82,297.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39265799,159.15,0.4790415,28.3840842
"87",87,"9_1489","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,40,853.26,8.21,97.53,34,0,4.11,22.53,31.47,782.36,13.38,3.7,3.81,0.97,47.62,42.53,710.99,25.58,27.49,11.75,169.75,158.49,11.27,0.03,20.23,0,0,0,9.04,85.57,59.25,44.51,157.87,75.3,0,16.11,28.83,56.28,176.53,0.03,19.98,"Nodo 1 - Pies inventariados","IFN3",2003,41,693.21,0,0,33.9,NA,NA,24.95,36.35,1042.49,15.39,4.23,4.35,1.03,39.28,42.35,690.9,24.67,26.51,15.52,178.04,170.03,8,NA,NA,0,0,0,52.65,88.45,70.54,21.63,166.48,80.79,0.08,33.13,108,56.11,278.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.86343903,173.3,1.0888596,111.6547062
"88",88,"9_1490","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,30,1567.89,15.79,218.48,26.07,0,7.15,14.55,26.84,569.65,9.77,2.59,2.72,0.91,46.75,36.42,608.1,25.84,27.77,6.94,87.46,78.94,8.51,0.03,27.44,0,0,0,0,19.01,0,42.9,75.81,37.51,0,13.4,32.34,43.16,126.4,0.03,33.8,"Nodo 1 - Pies inventariados","IFN3",2003,31,930.17,0,0,20.2,NA,NA,16.63,25.44,523.46,11.63,2.93,3.04,0.67,56.17,45.71,455.72,28.2,30.3,11.64,93.99,84.7,9.29,NA,NA,0,0,0,2.75,22.92,6.66,45.73,86.21,40.24,0,12.5,45.9,33.44,132.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02008784,127.32,0.1820676,37.0959552
"89",89,"9_1491","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,33,169.65,0.55,74.71,3.92,0,1.65,17.14,18.35,265.59,5.71,3.58,3.61,0.17,33.23,31.11,87.67,134.52,144.55,5.17,10.02,9.14,0.88,0.01,4.14,0,0,0,0,0,0,6.02,8.47,4.34,0,2.59,6.34,6.48,19.76,0.02,7.74,"Nodo 1 - Pies inventariados","IFN3",2003,34,77.81,0,0,2.91,NA,NA,21.84,21.79,374.57,10.84,4.31,4.32,0.11,49.74,49.74,61.42,104.61,112.41,10.84,14.07,12.92,1.15,NA,NA,0,0,0,0,5.99,0,4.62,13.1,6.14,0,1.3,2.38,4.82,14.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",90,"9_1507","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,47,1419.42,19.7,151.73,42.95,0.01,5.14,19.63,25.88,526.78,15.39,2.94,3.03,1.02,74.15,59.46,929.45,17.25,18.53,13.88,286.66,257.76,28.9,0.06,33.42,0,0,0,0,145.64,117.34,112.91,268.41,122.47,0,13.85,24.25,71.09,231.66,0.04,25.44,"Nodo 1 - Pies inventariados","IFN3",2003,48,309.26,0,0,18.38,NA,NA,27.51,31.99,935.93,16.29,4.14,4.17,0.42,57.57,50.92,365.52,34.9,37.51,16.29,104.9,97.37,7.53,NA,NA,0,0,0,4.58,68.48,54.55,18.97,99.2,46.27,0,5.58,8.69,25.32,85.85,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"91",91,"9_1508","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,38,1206.59,7.17,149.19,33.54,0,5.26,18.81,23.34,427.75,8.84,3.34,3.38,1.09,43.98,37.87,733.65,32.58,35.01,6.84,126.65,115.43,11.22,0.02,19.78,0,0,0,0,30.46,0,64.27,113.83,54.85,0,17.37,37.24,55.52,164.98,0.02,24.92,"Nodo 1 - Pies inventariados","IFN3",2003,39,710.89,0,0,24.26,NA,NA,20.84,26.19,539.75,11.45,3.75,3.79,0.8,45.58,43.71,517.12,32.77,35.21,11.64,110.01,101.14,8.87,NA,NA,0,0,0,0,54.29,21.84,36.78,101.06,48.06,0,17.44,51.78,40.15,157.42,NA,NA,NA,NA,NA,NA,0,0,0,NA,1.76032632,95.49,0.4854075,43.6446594
"92",92,"9_1509","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,36,998.22,6.07,130.7,27.51,0,5.45,18.73,26.71,563.88,10.96,3.29,3.35,0.88,49.13,41.04,602.38,28.88,31.03,8.47,116.85,106.32,10.53,0.04,25.19,0,0,0,0,26.89,16.95,57.5,106.33,50.52,0,12.7,26.05,45.54,134.8,0.04,25.99,"Nodo 1 - Pies inventariados","IFN3",2003,37,785.16,0,0,26.17,NA,NA,20.6,25.96,539.38,14.26,3.4,3.43,0.73,62.85,54.95,559.56,25.02,26.88,14.15,156.28,141.69,14.6,NA,NA,0,0,0,4.86,73.7,28.93,61.81,146,67.32,0,9.44,16.99,43.32,137.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",93,"9_1524","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,40,557.59,2.8,100.61,21.79,0,4.27,22.3,26.45,551.25,11.18,3.91,3.95,0.68,48.11,42.25,456.66,37.9,40.72,10.06,104.23,96.35,7.87,0.02,20.08,0,0,0,0,55.45,16.19,31.51,96.3,45.78,0,9.88,17.8,36.06,109.52,0.02,19.88,"Nodo 1 - Pies inventariados","IFN3",2003,41,159.15,0,0,9.35,NA,NA,27.35,29.39,687.86,15.07,4.69,4.74,0.28,55.05,51.27,186.25,52.6,56.52,15.12,61.61,57.95,3.67,NA,NA,0,0,0,9.84,38.48,35.31,8.68,58.2,27.53,0,3.66,5.4,15.48,52.07,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"94",94,"9_1525","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,44,1283.52,13.8,151.4,39,0.01,5.26,19.67,27.34,591.29,14.16,3.02,3.11,0.97,70.67,51.79,843.66,19.71,21.18,12.81,248.1,223.75,24.35,0.04,32.87,0,0,0,3.13,119.73,83.7,97.84,231.91,106.31,0,13.19,23.31,64.56,207.37,0.04,25.78,"Nodo 1 - Pies inventariados","IFN3",2003,45,314.77,0,0,14.18,NA,NA,23.95,29.77,701.17,17.77,3.87,3.94,0.38,66.95,59.69,292.02,31.72,34.09,17.79,103.99,95.94,8.05,NA,NA,0,0,0,7.65,58.11,43.1,24.72,98.22,45.59,0,4.81,7.45,23.47,81.32,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"95",95,"9_1543","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,40,3148.16,35.45,304.68,33.81,0.01,8.03,11.69,25.04,492.44,8.85,2.07,2.16,1.15,59.89,35.33,832.96,20.15,21.65,7.13,115.74,100.37,15.37,0.04,29.57,0,0,0,0,11.99,0,67.89,97.44,47.69,0,14.71,39.77,55.97,158.15,0.06,37.38,"Nodo 1 - Pies inventariados","IFN3",2003,41,2496.96,0,0,28.12,NA,NA,11.98,20.08,328.14,11.75,2.11,2.15,0.9,74.32,58.54,688.69,17.03,18.29,11.82,124.05,105.8,18.25,NA,NA,0,0,0,0,6.73,3.31,89.99,108.09,50.27,0,9.66,25.21,46.55,131.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",96,"9_1549","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,39,158.86,0.44,85.02,7.2,0,3.72,24.03,25.97,534.46,8.4,4.7,4.74,0.28,33.43,32.33,148.18,94.48,101.53,7.26,25.65,24.33,1.32,0.02,13.01,0,0,0,0,12.9,0,5.56,23.56,11.56,0,4.43,8.26,11.92,36.17,0.02,17.19,"Nodo 1 - Pies inventariados","IFN3",2003,40,56.59,0,0,3.98,NA,NA,29.92,29.76,702.96,11.23,5.75,5.77,0.15,37.73,37.73,77.48,118.4,127.23,11.23,19.43,18.73,0.7,NA,NA,0,0,0,2.47,12.23,10.36,1.71,18.23,8.9,0,2.12,3.24,6.58,20.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",97,"9_1568","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,30,502.66,2.9,123.59,5.08,0,1.4,11.34,12.71,126.79,6.61,2.33,2.35,0.22,52.52,51.99,126.07,67.52,72.56,6,14.75,12.62,2.13,0.02,4.27,0,0,0,0,0,0,9.86,12.22,6,0,2.35,7.14,8.41,23.89,0.04,5.85,"Nodo 1 - Pies inventariados","IFN3",2003,31,190.99,0,0,2.29,NA,NA,12.35,13.39,143.64,9.21,2.51,2.53,0.1,71.41,68.78,55.6,78.57,84.43,8.72,9.94,8.48,1.46,NA,NA,0,0,0,0,0,0,7.27,8.88,4.03,0,0.79,2.06,3.79,10.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",98,"9_1577","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,49,981.27,8.31,62.94,50.51,0,3.02,25.6,32.66,842.78,16.31,3.76,3.81,1.12,60.77,49.95,1022.85,19.57,21.03,14.31,348.39,323.79,24.6,0.04,20.3,0,0,0,28.55,222.86,199.52,62.67,329.49,153.84,0,18.27,27.74,83.6,283.45,0.03,15.63,"Nodo 1 - Pies inventariados","IFN3",2003,50,767.48,0,0,51.66,NA,NA,29.28,36.3,1040.04,17.17,4.22,4.27,1.1,56.07,47.3,1011.7,21.02,22.59,17.26,370.64,350.73,19.9,NA,NA,0,0,0,79.5,225.37,185.72,37.8,352.14,166.64,0.08,19.63,27.4,85.51,299.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",99,"9_1580","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,28,1608.29,12.37,156.44,19.79,0,2.35,12.52,17.98,253.91,6.48,2.38,2.42,0.74,52.06,36.05,479.19,38.48,41.35,5.87,60.71,52.67,8.03,0,7.01,0,0,0,0,0,0,43.48,51.26,25.03,0,9.46,26.18,32.75,93.42,0.02,10.59,"Nodo 1 - Pies inventariados","IFN3",2003,29,760.41,0,0,15.2,NA,NA,15.95,22.44,395.94,9.77,2.82,2.93,0.51,64.72,43.55,346.36,37.11,39.88,9.74,70.97,62.92,8.06,NA,NA,0,0,0,0,13.29,0,42.94,64.31,29.89,0,6.02,12.74,25.15,73.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",100,"9_1587","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,25,463.05,2.17,178.74,5.48,0,2.42,12.28,13.89,151.6,5.5,2.55,2.57,0.24,42.71,39.58,133.39,84.51,90.81,4.92,13.64,11.88,1.76,0.01,6.04,0,0,0,0,0,0,9.44,11.12,5.64,0,3.03,9.05,9.07,26.8,0.02,10.94,"Nodo 1 - Pies inventariados","IFN3",2003,26,127.32,0,0,2.97,NA,NA,17.23,17.86,251.22,9.42,3.46,3.48,0.09,54.12,52.76,66.36,94.04,101.05,9.28,9.04,8.08,0.96,NA,NA,0,0,0,0,0,0,6.07,8.18,3.84,0,0.96,2.1,3.64,10.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",101,"9_1589","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,40,549.02,3.35,135.03,18.36,0,5.03,20.64,26.46,551.22,9.93,3.71,3.84,0.63,41.24,37.55,392.49,42.96,46.16,8.76,71.44,66.53,4.91,0.02,19.48,0,0,0,0,35.9,4.69,20.34,65.1,31.61,0,9.91,19.32,30.4,91.24,0.02,23.32,"Nodo 1 - Pies inventariados","IFN3",2003,41,233.43,0,0,13.08,NA,NA,26.71,30.83,750.04,12.38,4.69,4.79,0.42,44.29,40.15,262.04,52.88,56.82,12.48,67.22,63.86,3.37,NA,NA,0,0,0,7.22,39.69,35.31,10.42,62.8,30.34,0,6.36,10.02,21.65,68.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",102,"9_1595","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,40,2290.26,31.05,206.32,47.5,0,6.31,16.25,23.94,451,8.17,2.77,2.87,1.49,47.82,34.11,1077.73,25.59,27.5,7.37,168.94,152.11,16.84,0.02,22.06,0,0,0,0,23.82,0,99.59,149.88,72.27,0,23.74,53.62,78.63,228.26,0.02,29.96,"Nodo 1 - Pies inventariados","IFN3",2003,41,834.68,0,0,29.46,NA,NA,21.2,26.89,569.04,11.14,3.63,3.67,0.88,49.85,41.43,625.46,31.07,33.39,11.17,139.88,128.44,11.44,NA,NA,0,0,0,0,68.15,14.74,50.29,129.26,61.03,0,13.11,24.38,48.77,147.27,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"103",103,"9_1596","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,47,617.83,3.92,80.62,28.28,0,3.64,24.14,30.18,724.47,13.71,3.97,4.03,0.79,52.39,45.42,581.2,29.35,31.54,11.37,158.82,147.86,10.96,0.02,19.96,0,0,0,8.8,90.92,65.61,35.77,148.72,70.25,0,11.88,19.56,46.81,148.51,0.02,17.63,"Nodo 1 - Pies inventariados","IFN3",2003,48,385.51,0,0,26.6,NA,NA,29.64,33.83,899.97,15.56,4.56,4.6,0.52,52.02,45.99,519.35,32.74,35.18,15.64,140.56,132.94,7.62,NA,NA,0,0,0,24.89,91.87,71.19,15.13,133.38,63.16,0,8.11,11.62,34.11,116.99,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"104",104,"9_1602","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,35,2945.59,51.7,164.33,55.7,0,4.25,15.52,22.59,400.7,10.9,2.51,2.58,1.54,60.96,48.27,1278.38,16.9,18.16,9.12,250.69,222.03,28.66,0.02,20.03,0,0,0,0,52.29,0,153.73,226.21,105.49,0,22.05,48.86,92.19,268.6,0.02,19.99,"Nodo 1 - Pies inventariados","IFN3",2003,36,2412.08,0,0,56.96,NA,NA,17.34,24.59,476.63,12.31,2.68,2.79,1.48,64.96,50.08,1271.6,16.53,17.77,12.35,303.48,271.41,32.07,NA,NA,0,0,0,0,108.59,37.18,150.51,279.04,128.95,0,25.03,56.74,94.29,305.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18261182,31.83,0.4325697,23.3638566
"105",105,"9_1608","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,27,1842.84,12.81,168.61,21.48,0.01,2.39,12.18,15.42,186.81,6.82,2.32,2.34,0.79,55.23,44.23,523.8,34.15,36.7,6.37,69.22,59.49,9.73,0.02,7.58,0,0,0,0,0,0,53.96,58.32,28.27,0,9.54,27.05,35.56,100.42,0.03,10.56,"Nodo 1 - Pies inventariados","IFN3",2003,28,636.62,0,0,14.96,NA,NA,17.3,20.77,338.95,11.23,3.1,3.14,0.49,62.27,54.09,334.22,35.28,37.91,11.33,74.72,66.45,8.26,NA,NA,0,0,0,0,15.02,0,43.77,68.36,31.57,0,5.65,11.67,24.77,73.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",106,"9_1609","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,42,2024.59,23.25,106.15,39.83,0.02,1.98,15.83,21.28,355.85,9.03,2.72,2.79,1.24,52.38,42.45,909.75,24.6,26.43,8,156.41,139.49,16.93,0.05,7.51,0,0,0,0,17.32,0,99.04,140.02,66.28,0,17.76,40.49,65.94,190.46,0.06,8.97,"Nodo 1 - Pies inventariados","IFN3",2003,43,1556.18,0,0,39.85,NA,NA,18.06,24.22,461.08,10.56,3.08,3.14,1.21,48.37,43.62,880.61,24,25.79,10.63,179.64,163.06,16.58,NA,NA,0,0,0,0,68,0,81.28,164.81,77.48,0,23.6,80.58,65.96,247.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.84715856,286.47,0.3784587,59.5007739
"107",107,"9_1617","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,38,1700.37,23.09,156.67,48.34,0.01,5.42,19.03,28.06,619.52,14.18,2.99,3.09,1.27,59.66,50.53,1054.34,17.1,18.38,12.12,254.04,230.29,23.75,0.04,28.99,0,0,0,2.95,106.17,60.36,108.25,234.68,109.42,0,19.25,36.71,80.01,245.38,0.03,26.17,"Nodo 1 - Pies inventariados","IFN3",2003,39,1206.04,0,0,45.04,NA,NA,21.81,33.63,888.86,15.05,3.51,3.62,1.24,51.87,44.76,949.39,19.13,20.56,14.95,256.02,237.33,18.69,NA,NA,0,0,0,27.4,136.48,99.36,66.41,239.81,112.76,0,34.63,113,74.55,334.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.71809413,254.64,0.9545817,112.4515704
"108",108,"9_1620","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,25,602.23,3.44,191.85,5.96,0,2.56,11.23,14.23,159.15,4.45,2.33,2.38,0.27,39.46,31.26,148.32,91.58,98.41,4.4,12.48,10.84,1.64,0.02,5.15,0,0,0,0,0,0,6.43,9.57,5.15,0,3.71,12.03,9.86,30.76,0.03,12.68,"Nodo 1 - Pies inventariados","IFN3",2003,26,127.32,0,0,2.23,NA,NA,14.95,15.36,187.37,6.61,3.15,3.17,0.1,44.33,43.06,51.75,134,143.99,6.58,6.94,6.16,0.78,NA,NA,0,0,0,0,0,0,5.18,6.01,2.93,0,1.15,2.93,3.7,10.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",109,"9_1626","Nodo 3 - Pies inventariados","IFN2",NA,NA,NA,NA,10,36,2530.99,39.2,218.25,46.88,0,6.66,15.36,24.38,467.66,9.85,2.57,2.66,1.41,54.81,40.39,1078.85,20.19,21.69,8.94,187.24,167.06,20.18,0.02,27.29,0,0,0,0,39.27,7.27,103.47,167,79.38,0,20.77,47.18,77.6,224.93,0.02,31.29,"Nodo 1 - Pies inventariados","IFN3",2003,37,1191.89,0,0,26.17,NA,NA,16.72,25.52,512.58,11.36,2.99,3.07,0.88,48.34,44.54,589.45,25.49,27.39,11.52,113.2,102.4,10.79,NA,NA,0,0,0,0,37.49,16.37,52.14,103.13,48.66,0,19.65,79.16,43.31,190.77,NA,NA,NA,NA,NA,NA,0,0,0,NA,2.2128216,254.64,0.458352,72.34959
