"","PLOT_ID","Hoja_arboles.x","INVENTORY_ID_IFN2","Anho.x","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_dominante_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez.x","Esbeltez_dominante.x","SDI_IFN2","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_trituracion_IFN2","WSW_IFN2","WB2_t_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","ID_escenario","Hoja_arboles.y","INVENTORY_ID_IFN3","Anho.y","T_IFN3","N_IFN3","N_muerto_IFN3.x","N_incorporado_IFN3.x","G_IFN3","G_muerta_IFN3.x","G_incorporada_IFN3.x","dg_IFN3","Do_IFN3","Seccion_dominante_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez.y","Esbeltez_dominante.y","SDI_IFN3","Hart_IFN3","Hart_tresbolillo_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_muerto_IFN3.x","V_incorporado_IFN3.x","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_trituracion_IFN3","WSW_IFN3","WB2_t_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","WT_muerta_IFN3.x","WT_incorporada_IFN3.x","G_incorporada_IFN3.y","N_incorporado_IFN3.y","V_incorporado_IFN3.y","WT_incorporada_IFN3.y","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3.y","N_muerto_IFN3.y","V_muerto_IFN3.y","WT_muerta_IFN3.y"
"23","19_568","Nodo 3 - Pies inventariados","IFN2",10,30,1012.9,0,26.14,26.27,NA,0.31,18.17,23.53,437.74,7.66,2.76,2.79,0.62,41.4,32.58,602.37,40.99,44.05,17.75,93.63,61.16,32.47,0,0.94,0,0,22.93,83.57,45.29,3.63,11.01,15.69,75.61,NA,0.39,"Nodo 1 - Pies inventariados",25,"IFN3",2003,30,1036.28,0,0,27.51,NA,NA,18.39,24.91,488.73,8.21,2.76,2.81,0.64,42.09,32.97,628.13,37.83,40.65,17.25,100.59,65.85,34.74,NA,NA,0,0,24.79,89.92,48.34,3.91,11.6,16.74,80.59,NA,NA,11.85104317,484.54,44.4864502,34.7831396,NA,NA,NA,NA,NA,NA,NA,NA
"24","19_578","Nodo 3 - Pies inventariados","IFN2",10,35,702.46,0,34.01,19.28,NA,0.3,18.69,26.41,548.97,12.15,2.75,2.84,0.44,54.16,46.02,437.53,31.04,33.36,20.61,96.11,63.78,32.33,0,0.95,0,0,44.79,88.94,41.64,2.96,8.28,12.35,65.24,NA,0.3,"Nodo 1 - Pies inventariados",25,"IFN3",2003,35,498.69,0,0,12.82,NA,NA,18.09,24.5,475.21,10.57,2.69,2.8,0.31,54.92,43.12,294.4,42.38,45.54,18.48,60.26,39.81,20.44,NA,NA,0,0,25.19,55.13,26.59,1.93,5.47,8.08,42.07,NA,NA,7.08583074,311.24,32.6820265,22.8617979,0,0,0,NA,NA,NA,NA,NA
"25","19_582","Nodo 3 - Pies inventariados","IFN2",10,30,1000.85,0,24.7,38.09,NA,0.24,22.01,29.08,664.49,12.18,3.1,3.21,0.81,49.27,41.89,813.4,25.95,27.89,23.57,195.19,130.96,64.23,0,0.84,0,6.43,112.54,181.73,85.86,6.97,17.22,27.65,137.7,NA,0.29,"Nodo 1 - Pies inventariados",25,"IFN3",2003,30,364.29,0,0,17.9,NA,NA,25.02,29.55,688.04,11.92,3.72,3.78,0.41,46.71,40.36,364.67,43.94,47.21,21.65,95.22,64.28,30.94,NA,NA,0,7.06,57.76,88.84,41.89,3.58,8.32,13.87,67.65,NA,NA,7.0838862,127.35,37.5378275,27.1406905,0,0,0,NA,NA,NA,NA,NA
"26","19_591","Nodo 3 - Pies inventariados","IFN2",10,40,329.02,0,14.25,19.39,NA,0.14,27.39,38.35,1170.19,13.32,3.78,4.11,0.44,41.01,34.74,381.88,41.38,44.47,20.37,105.76,72.85,32.91,0,0.44,0,55.85,33.24,99.11,47.86,5.22,9.71,18.36,81.14,NA,0.15,"Nodo 1 - Pies inventariados",25,"IFN3",2003,40,422.43,0,0,21.34,NA,NA,25.36,37.83,1133.02,12.99,3.42,3.8,0.48,41.46,34.34,432.44,37.45,40.24,19.86,112.65,77.29,35.36,NA,NA,0,46.55,43.51,104.98,51.17,5.43,10.52,19.44,86.57,NA,NA,5.0238033,125.35,23.1956505,17.8576634,NA,NA,NA,NA,NA,NA,NA,NA
"27","19_593","Nodo 3 - Pies inventariados","IFN2",10,35,2008.83,0,53,60.01,NA,0.5,19.5,26.36,546.17,12.16,2.71,2.77,1.21,51.8,46.12,1340.44,18.35,19.72,21.52,290.2,192.39,97.81,0,1.57,0,0,125.4,267.46,127.31,9.23,25.87,38.57,200.98,NA,0.69,"Nodo 1 - Pies inventariados",25,"IFN3",2003,35,866.51,0,0,30.11,NA,NA,21.03,28.31,630.65,11.27,3.07,3.14,0.67,47.14,39.82,654.03,30.13,32.38,19.22,140.5,93.6,46.89,NA,NA,0,2.24,63.4,129.23,63.32,5.12,13.34,20.76,102.54,NA,NA,10.59196436,336.01,50.0541771,35.9386846,0,0,0,NA,0.68058906,31.83,2.9535057,2.0256612
"28","19_596","Nodo 3 - Pies inventariados","IFN2",10,30,1480.75,0,48.35,41.94,NA,0.52,18.99,24.83,484.63,9.33,2.76,2.82,0.93,41.93,37.57,946.06,27.85,29.93,20.14,160.6,105.68,54.93,0,1.6,0,0,58.65,144.49,76.49,6.27,17.93,26.43,127.12,NA,0.7,"Nodo 1 - Pies inventariados",25,"IFN3",2003,30,1488.98,0,0,30.23,NA,NA,16.08,23.32,429.16,7.62,2.36,2.47,0.71,40.52,32.65,725.45,34.03,36.57,16.7,98.21,63.86,34.35,NA,NA,0,0,23.1,85.86,48.76,4,12.45,17.44,82.66,NA,NA,4.00755308,265.26,11.8972218,10.5681915,NA,NA,NA,NA,3.06876213,190.98,10.1053884,7.9839189
"29","19_601","Nodo 3 - Pies inventariados","IFN2",10,30,831.13,0,35.36,18.05,NA,0.34,16.63,23.98,452.35,9.47,2.55,2.6,0.44,40.78,39.5,427.71,36.62,39.35,19.26,61.96,40.38,21.58,0,0.77,0,0,15.63,54.75,30.06,2.35,7.41,10.3,50.13,NA,0.31,"Nodo 1 - Pies inventariados",25,"IFN3",2003,30,1202.5,0,0,26.13,NA,NA,16.63,27.08,576.73,8.99,2.53,2.67,0.6,39.11,33.2,619.22,32.08,34.47,18.12,90.17,59.24,30.93,NA,NA,0,0,28.42,80.16,44.1,3.82,10.87,16.01,74.8,NA,NA,18.00282582,877.12,62.8653376,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","19_602","Nodo 3 - Pies inventariados","IFN2",10,30,379.87,0,29.73,8.19,NA,0.35,16.57,19.87,311.17,9.57,2.6,2.62,0.21,53.66,48.15,194.32,53.63,57.63,17.21,34.73,22.63,12.11,0,1.17,0,0,6.51,31.49,15.52,1.01,3.32,4.51,24.37,NA,0.39,"Nodo 1 - Pies inventariados",25,"IFN3",2003,30,951.39,0,0,18.53,NA,NA,15.75,22.05,382.1,8.25,2.37,2.46,0.45,44.08,37.43,448.07,39.29,42.22,17.39,64.01,41.6,22.42,NA,NA,0,0,17.48,56.28,30.89,2.36,7.55,10.39,51.18,NA,NA,14.01722159,792.22,47.2642394,37.7983058,NA,NA,NA,NA,NA,NA,NA,NA
"31","19_603","Nodo 3 - Pies inventariados","IFN2",10,35,222.82,0,0,8.38,NA,0,21.88,24.3,468.5,9.59,3.43,3.46,0.21,40.48,39.48,179.31,69.82,75.03,16.98,34.95,23.23,11.72,0,0,0,0,17.93,31.99,16.42,1.42,3.72,5.78,27.33,NA,0,"Nodo 1 - Pies inventariados",25,"IFN3",2003,35,555.27,0,0,18.2,NA,NA,20.43,27.37,595.21,9.71,3.07,3.15,0.43,43.33,35.48,399.64,43.69,46.95,17.54,76.67,50.89,25.77,NA,NA,0,4.56,31.59,70.14,35.72,3.03,8,12.34,59.09,NA,NA,11.6112372,403.2,47.6434408,36.4973952,NA,NA,NA,NA,NA,NA,NA,NA
"32","19_604","Nodo 3 - Pies inventariados","IFN2",10,25,1012.7,0,25.94,27.78,NA,0.31,18.69,24.53,473.49,9.69,2.79,2.84,0.64,45.14,39.5,630.42,32.43,34.85,22.92,111.89,73.58,38.31,0,1,0,0,35.09,101,52,4.03,11.78,17.14,84.95,NA,0.37,"Nodo 1 - Pies inventariados",25,"IFN3",2003,25,940.78,0,0,26.52,NA,NA,18.94,26.48,552.04,9.65,2.78,2.88,0.61,41.62,36.42,598.73,33.8,36.32,20.99,105.8,69.96,35.83,NA,NA,0,0,46.76,95.76,49.82,4.15,11.45,17.2,82.62,NA,NA,11.32956806,459.8,42.6474822,34.3814633,NA,NA,NA,NA,NA,NA,NA,NA
"33","19_606","Nodo 3 - Pies inventariados","IFN2",10,30,795.83,0,31.89,17.37,NA,0.34,16.67,22.71,407.32,9.2,2.55,2.59,0.42,47.5,40.51,411.29,38.52,41.39,18.89,66.74,43.5,23.24,0,1.01,0,0,18.08,59.85,31.09,2.24,7.12,9.85,50.3,NA,0.37,"Nodo 1 - Pies inventariados",25,"IFN3",2003,30,756.87,0,0,19.47,NA,NA,18.1,23.06,419.6,9.77,2.75,2.78,0.46,48.83,42.36,447.17,37.2,39.98,19.26,81.7,53.59,28.11,NA,NA,0,0,21.31,74.26,37.23,2.69,8.15,11.62,59.69,NA,NA,9.27521276,410.26,38.1121114,27.5711797,NA,NA,NA,NA,NA,NA,NA,NA
"34","19_609","Nodo 3 - Pies inventariados","IFN2",10,30,1444.7,0,29.99,38.57,NA,0.3,18.44,26.95,571.64,10.84,2.67,2.74,0.85,46.34,40.23,879.68,24.26,26.07,21.97,161.12,106.19,54.94,0,0.89,0,0,54.59,146.69,74.09,5.68,16.39,23.99,120.15,NA,0.35,"Nodo 1 - Pies inventariados",25,"IFN3",2003,30,1542.03,0,0,29.99,NA,NA,15.74,26.41,550.12,10.06,2.26,2.39,0.69,47.42,38.08,725.5,25.32,27.21,19.34,113.71,74.36,39.34,NA,NA,0,0,33.49,101.13,53.4,4.06,12.38,17.47,87.31,NA,NA,4.93178805,346.6,17.3461514,13.1821315,NA,NA,NA,NA,NA,NA,NA,NA
"35","19_611","Nodo 3 - Pies inventariados","IFN2",10,30,159.15,0,0,6.02,NA,0,21.95,22.59,401.37,9.52,3.49,3.49,0.15,42.88,42.13,128.73,83.28,89.49,18.89,26.53,17.63,8.9,0,0,0,0,16.51,24.47,12.19,1,2.66,4.09,19.93,NA,0,"Nodo 1 - Pies inventariados",25,"IFN3",2003,30,399.66,0,0,17.58,NA,NA,23.67,28.95,666.18,11.35,3.52,3.61,0.41,43.5,39.2,365.54,44.08,47.36,20.94,84.75,57,27.75,NA,NA,0,7.56,44.84,78.51,38.45,3.42,8.09,13.31,63.26,NA,NA,14.12312952,328.95,69.0320897,51.1109189,NA,NA,NA,NA,NA,NA,NA,NA
"36","19_613","Nodo 3 - Pies inventariados","IFN2",10,30,91.96,0,0,5.08,NA,0,26.51,26.38,552.05,11.58,4.15,4.17,0.13,43.89,43.89,101.19,90.07,96.79,19.79,27.15,18.4,8.76,0,0,0,4.52,17.27,25.47,12,1.06,2.39,4.05,19.49,NA,0,"Nodo 1 - Pies inventariados",25,"IFN3",2003,30,190.99,0,0,8.69,NA,NA,24.07,28.43,646.78,12.15,4.19,4.24,0.18,41.24,42.72,179.52,59.57,64.02,21.99,42.66,29.06,13.6,NA,NA,0,10.19,24.01,39.99,18.64,1.68,3.62,6.32,30.26,NA,NA,3.85354025,70.75,20.195729,14.6088845,NA,NA,NA,NA,NA,NA,NA,NA
"37","19_616","Nodo 3 - Pies inventariados","IFN2",10,35,710.89,0,0,31.39,NA,0,23.71,27.87,610.33,11.11,3.49,3.52,0.69,44.04,39.87,652.19,33.75,36.27,20.04,152.05,101.98,50.08,0,0,0,0,90.86,141.16,68.52,5.81,14.29,23.04,111.65,NA,0,"Nodo 1 - Pies inventariados",25,"IFN3",2003,35,679.06,0,0,31.44,NA,NA,24.28,30.55,733.71,11.92,3.51,3.58,0.68,46.05,39.03,647.43,32.18,34.58,20.06,162.48,109.52,52.96,NA,NA,0,13.84,93.9,151.26,72.04,6.18,14.53,24.04,116.79,NA,NA,10.56231249,215.78,53.9648472,39.5121434,NA,NA,NA,NA,NA,NA,NA,NA
"38","19_617","Nodo 3 - Pies inventariados","IFN2",10,35,549.98,0,26.54,18.96,NA,0.26,20.95,26.89,568.65,9.69,3.15,3.24,0.45,38.62,36.03,412.46,44.02,47.3,18.02,74,49.12,24.88,0,0.67,0,0,39.72,67.21,35.62,3.22,8.4,13.06,60.29,NA,0.27,"Nodo 1 - Pies inventariados",25,"IFN3",2003,35,417.34,0,0,18.75,NA,NA,23.92,29.47,684.98,9.35,3.63,3.69,0.45,35.62,31.73,388.34,52.36,56.26,17.02,74.54,49.87,24.67,NA,NA,0,4.73,40.48,68.15,36.28,3.61,8.61,14.12,62.62,NA,NA,6.22529338,148.56,24.5837875,20.4443098,NA,NA,NA,NA,NA,NA,NA,NA
"39","42_1858","Nodo 3 - Pies inventariados","IFN2",10,25,646.62,0,41.83,12.92,NA,0.37,15.95,19.41,296.29,7.9,2.5,2.53,0.32,43.34,40.69,310.99,49.79,53.5,18.93,42.64,27.53,15.1,0,0.99,0,0,4.08,37.77,20.77,1.54,5.19,6.94,34.44,NA,0.34,"Nodo 1 - Pies inventariados",25,"IFN3",2004,27,700.28,0,0,10.15,NA,NA,13.59,20.57,333.68,8.99,2.53,2.6,0.17,56.41,43.67,259.38,42.05,45.19,18.78,25.91,16.89,9.01,NA,NA,0,0,6.81,23.5,12.05,0.87,2.75,3.82,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","42_1890","Nodo 3 - Pies inventariados","IFN2",10,30,548.2,0,0,21.85,NA,0,22.53,29.86,702.71,9.9,3.35,3.43,0.51,42.93,33.16,462.73,43.14,46.35,20.83,97.08,64.86,32.22,0,0,0,7.12,43.75,89.31,45.01,4.01,9.89,15.88,74.79,NA,0,"Nodo 1 - Pies inventariados",25,"IFN3",2004,32,399.66,0,0,NA,NA,NA,18.87,30.37,733.01,11.96,4.27,4.33,0.21,51.68,39.36,252.74,41.84,44.96,20.8,48.56,33.12,15.44,NA,NA,0,12.86,24.41,45.41,21.72,2.08,4.37,7.73,35.91,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"41","42_1902","Nodo 3 - Pies inventariados","IFN2",10,25,698.42,0,29.97,15.85,NA,0.34,17,22.88,412.93,7.44,2.63,2.67,0.39,42.76,32.53,372.59,50.85,54.65,19.88,54.59,35.47,19.12,0,0.95,0,0,7.92,48.13,26.51,2.06,6.52,9.05,44.13,NA,0.36,"Nodo 1 - Pies inventariados",25,"IFN3",2004,27,251.11,0,0,5.92,NA,NA,17.33,20.66,339.49,7.94,2.73,2.79,0.15,44.72,38.42,138.2,79.51,85.44,18.2,21.79,14.22,7.57,NA,NA,0,0,4.8,19.49,10.38,0.8,2.46,3.48,17.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","42_1927","Nodo 3 - Pies inventariados","IFN2",10,30,127.32,0,0,5.97,NA,0,24.43,24.96,497.66,11.09,3.82,3.85,0.15,42.85,44.42,122.59,79.94,85.9,21.48,29.23,19.67,9.56,0,0,0,4.8,17,27.14,13.16,1.15,2.74,4.5,21.55,NA,0,"Nodo 1 - Pies inventariados",25,"IFN3",2004,32,155.62,0,0,4.77,NA,NA,19.76,21.03,356.74,10.7,3.39,3.43,0.08,53.99,50.9,106.1,74.9,80.48,19.66,17.22,11.5,5.71,NA,NA,0,0,10.25,16.06,7.51,0.58,1.5,2.33,11.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","42_1928","Nodo 3 - Pies inventariados","IFN2",10,30,453.5,0,25.55,12.43,NA,0.31,18.68,23.56,445.23,9.48,2.9,2.95,0.31,39.17,40.23,282.04,49.54,53.23,21.7,45.08,29.64,15.44,0,0.81,0,2.37,12.72,40.7,21.81,1.83,5.28,7.72,36.64,NA,0.32,"Nodo 1 - Pies inventariados",25,"IFN3",2004,32,268.8,0,0,NA,NA,NA,18.42,20.9,345.03,9.27,3.15,3.18,0.09,47.4,44.34,163.37,65.81,70.72,17.92,14.68,9.7,4.98,NA,NA,0,0,6.85,13.51,6.75,0.53,1.49,2.21,10.98,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"44","42_1980","Nodo 3 - Pies inventariados","IFN2",10,27,364.29,0,0,16.74,NA,0,24.19,28.76,689.06,10.32,3.63,3.71,0.39,40.43,35.87,345.18,50.78,54.57,22.65,77.14,51.99,25.15,0,0,0,11.38,40.05,71.22,35.79,3.43,7.77,13.08,60.07,NA,0,"Nodo 1 - Pies inventariados",25,"IFN3",2004,29,807.94,0,0,NA,NA,NA,14.79,25.77,543.64,11.8,3.63,3.7,0.18,71.09,45.8,343.49,29.81,32.04,21.93,42.85,28.92,13.93,NA,NA,0,4.11,22.92,40.09,18.69,1.6,3.66,6.13,30.09,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"45","44_1589","Nodo 3 - Pies inventariados","IFN2",10,35,31.83,0,0,2,NA,0,28.25,28.25,626.95,9.78,4.63,4.63,0.05,34.62,34.62,38.85,181.22,194.74,16.8,8.92,6.04,2.88,0,0,0,0,6.3,8.24,4.25,0.44,0.95,1.66,7.29,NA,0,"Nodo 1 - Pies inventariados",25,"IFN3",2005,36,14.15,0,0,0.8,NA,NA,26.82,26.82,564.97,7.95,4.54,4.54,0.02,29.66,29.66,15.86,334.23,359.16,15.12,2.93,1.97,0.96,NA,NA,0,0,1.53,2.69,1.49,0.17,0.38,0.64,2.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","44_1615","Nodo 3 - Pies inventariados","IFN2",10,35,293.55,0,0,11.82,NA,0,22.64,30.02,747.86,9.08,3.34,3.54,0.29,39.7,30.26,249.82,64.26,69.05,17.59,48.61,32.66,15.95,0,0,0,9.47,15.3,44.64,23.55,2.51,5.52,9.43,41.01,NA,0,"Nodo 1 - Pies inventariados",25,"IFN3",2004,35,908.95,0,0,NA,NA,NA,17.02,29.41,697.95,8.46,3.9,4.01,0.22,47.19,28.77,486.05,39.19,42.12,15.92,35.79,24.11,11.69,NA,NA,0,8.07,14.82,32.77,17.95,2.05,4.43,7.69,32.13,NA,NA,10.95983905,597.71,9.458143,NA,0,0,0,NA,NA,NA,NA,NA
"47","44_164","Nodo 3 - Pies inventariados","IFN2",10,42,671.99,0,0,34.05,NA,0,25.4,33.43,880.3,12.2,3.66,3.74,0.74,42.69,36.51,689.66,31.61,33.97,19.05,170.47,115.3,55.17,0,0,0,30.27,88.47,158.66,77.03,7.13,16,27.19,127.36,NA,0,"Nodo 1 - Pies inventariados",25,"IFN3",2005,43,601.25,0,0,25.28,NA,NA,23.14,31.64,788.97,10.8,3.38,3.5,0.58,39.95,34.13,529.96,37.76,40.58,16.51,110.08,73.9,36.18,NA,NA,0,12.39,53.44,101.4,51.84,4.96,11.63,19.24,87.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87643905,63.66,3.3701604,2.3095848
"48","44_168","Nodo 3 - Pies inventariados","IFN2",10,40,987.31,0,32.38,19.76,NA,0.34,15.96,18.28,262.52,6.6,2.49,2.5,0.48,40.99,36.11,475.5,48.21,51.81,12.37,62.11,40.01,22.1,0,0.86,0,0,0,54.18,30.75,2.29,7.9,10.45,51.39,NA,0.39,"Nodo 1 - Pies inventariados",25,"IFN3",2005,41,477.46,0,0,9.23,NA,NA,15.69,18.71,275.04,7.09,2.49,2.52,0.24,40.55,37.88,223.52,64.58,69.39,12.82,28.67,18.48,10.19,NA,NA,0,0,0,24.91,14.26,1.08,3.69,4.91,23.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","44_317","Nodo 3 - Pies inventariados","IFN2",10,40,350.14,0,0,14.97,NA,0,23.33,26.41,547.89,11.55,3.54,3.57,0.35,45.98,43.73,312.81,46.27,49.72,18.7,74.67,50.05,24.61,0,0,0,0,43.68,69.48,33.16,2.71,6.77,10.82,53.46,NA,0,"Nodo 1 - Pies inventariados",25,"IFN3",2005,41,512.83,0,0,NA,NA,NA,19.36,25.72,523.27,11.48,3.23,3.27,0.17,56.87,44.65,338.14,38.46,41.32,17.54,32.59,21.68,10.9,NA,NA,0,0,18.44,30.04,14.63,1.15,3.07,4.71,23.55,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
