"","PLOT_ID","Hoja_arboles","INVENTORY_ID_IFN2","T_IFN2","N_IFN2","N_muerto_IFN2","N_incorporado_IFN2","G_IFN2","G_muerta_IFN2","G_incorporada_IFN2","dg_IFN2","Do_IFN2","Seccion_domi.nte_IFN2","Ho_IFN2","d_copa_IFN2","Do_copa_IFN2","FCC_IFN2","Esbeltez_(hq/dq)","Esbeltez_(h100/d100)","SDI_IFN2","Hart_IFN2","Hart_tresbolillo_IFN2","SI_IFN2","VOB_IFN2","VUB_IFN2","VBARK_IFN2","V_muerto_IFN2","V_incorporado_IFN2","V_sierra_gruesa_IFN2","V_sierra_IFN2","V_sierra_canter_IFN2","V_trituracion_IFN2","WSW_IFN2","WB2_t_IFN2","WTBL_IFN2","WR_IFN2","WT_IFN2","WT_muerta_IFN2","WT_incorporada_IFN2","W_descorchado","V_descorchado","INVENTORY_ID_IFN3","Nombre_modelo","T_IFN3","N_IFN3","G_IFN3","dg_IFN3","Do_IFN3","Seccion_domi.nte_IFN3","Ho_IFN3","d_copa_IFN3","Do_copa_IFN3","FCC_IFN3","Esbeltez (hq/dq)","Esbeltez (h100/d100)","SDI_IFN3","Hart_IFN3","SI_IFN3","VOB_IFN3","VUB_IFN3","VBARK_IFN3","V_sierra_gruesa_IFN3","V_sierra_IFN3","V_sierra_canter_IFN3","V_trituracion_IFN3","WSW_IFN3","WB2_t_IFN3","WTBL_IFN3","WR_IFN3","WT_IFN3","G_incorporada_IFN3","N_incorporado_IFN3","V_incorporado_IFN3","WT_incorporada_IFN3","G_cortada_IFN3","N_cortado_IFN3","V_cortado_IFN3","WT_cortada_IFN3","G_muerta_IFN3","N_muerto_IFN3","V_muerto_IFN3","WT_muerta_IFN3"
"24","19_568","Nodo 3 - Pies inventariados","IFN2",30,982.5,4.26,0,25.76,0.07,0,18.27,23.54,438.02,7.67,2.77,2.81,0.61,41.2,32.58,589.51,41.6,44.71,17.75,91.86,60.03,31.84,0.15,0,0,0,22.91,82.02,44.46,3.58,10.81,15.44,74.29,0.14,0,.,.,"IFN3","Ppi.ster_me__sim__v01",30,1036.28,27.51,18.39,24.91,488.73,8.21,2.76,2.81,0.64,42.09,32.97,628.13,37.83,17.25,100.59,65.85,34.74,0,0,24.79,89.92,48.34,3.91,11.6,16.74,80.59,11.85104317,484.54,44.4864502,34.7831396,.,.,.,.,.,.,.,.
"25","19_578","Nodo 3 - Pies inventariados","IFN2",35,663.23,5.22,0,18.74,0.09,0,18.97,26.42,549.49,12.16,2.79,2.88,0.43,54.02,46.03,422.95,31.93,34.31,20.61,94.14,62.53,31.61,0.15,0,0,0,44.77,87,40.75,2.91,8.08,12.11,63.85,0.11,0,.,.,"IFN3","Ppi.ster_me__sim__v01",35,498.69,12.82,18.09,24.5,475.21,10.57,2.69,2.8,0.31,54.92,43.12,294.4,42.38,18.48,60.26,39.81,20.44,0,0,25.19,55.13,26.59,1.93,5.47,8.08,42.07,7.08583074,311.24,32.6820265,22.8617979,0,0,0,0,.,.,.,.
"26","19_582","Nodo 3 - Pies inventariados","IFN2",30,962.81,13.34,0,37.51,0.35,0,22.27,29.08,664.79,12.18,3.15,3.25,0.8,48.99,41.89,797.61,26.45,28.42,23.57,192.84,129.45,63.39,0.57,0,0,6.43,112.35,179.6,84.82,6.92,17,27.37,136.11,0.4,0,.,.,"IFN3","Ppi.ster_me__sim__v01",30,364.29,17.9,25.02,29.55,688.04,11.92,3.72,3.78,0.41,46.71,40.36,364.67,43.94,21.65,95.22,64.28,30.94,0,7.06,57.76,88.84,41.89,3.58,8.32,13.87,67.65,7.0838862,127.35,37.5378275,27.1406905,0,0,0,0,.,.,.,.
"27","19_591","Nodo 3 - Pies inventariados","IFN2",40,308.21,6.56,0,19.07,0.3,0,28.07,38.36,1170.47,13.32,3.9,4.21,0.43,40.48,34.73,372.2,42.75,45.94,20.37,104.56,72.09,32.48,0.21,0,0,55.84,33.17,97.93,47.32,5.18,9.58,18.21,80.29,0.16,0,.,.,"IFN3","Ppi.ster_me__sim__v01",40,422.43,21.34,25.36,37.83,1133.02,12.99,3.42,3.8,0.48,41.46,34.34,432.44,37.45,19.86,112.65,77.29,35.36,0,46.55,43.51,104.98,51.17,5.43,10.52,19.44,86.57,5.0238033,125.35,23.1956505,17.8576634,.,.,.,.,.,.,.,.
"28","19_593","Nodo 3 - Pies inventariados","IFN2",35,1933.34,22.49,0,58.97,0.49,0,19.71,26.37,546.35,12.16,2.75,2.8,1.19,51.68,46.12,1312.15,18.7,20.1,21.52,286.34,189.92,96.42,1.23,0,0,0,125.07,263.92,125.56,9.13,25.47,38.08,198.25,0.86,0,.,.,"IFN3","Ppi.ster_me__sim__v01",35,866.51,30.11,21.03,28.31,630.65,11.27,3.07,3.14,0.67,47.14,39.82,654.03,30.13,19.22,140.5,93.6,46.89,0,2.24,63.4,129.23,63.32,5.12,13.34,20.76,102.54,10.59196436,336.01,50.0541771,35.9386846,0,0,0,0,0.68058906,31.83,2.9535057,2.0256612
"29","19_596","Nodo 3 - Pies inventariados","IFN2",30,1420.69,11.7,0,41.09,0.22,0,19.19,24.84,484.87,9.33,2.8,2.86,0.91,41.68,37.57,923.38,28.43,30.55,20.14,157.85,103.92,53.93,0.41,0,0,0,58.6,142.18,75.18,6.19,17.61,26.04,125.03,0.34,0,.,.,"IFN3","Ppi.ster_me__sim__v01",30,1488.98,30.23,16.08,23.32,429.16,7.62,2.36,2.47,0.71,40.52,32.65,725.45,34.03,16.7,98.21,63.86,34.35,0,0,23.1,85.86,48.76,4,12.45,17.44,82.66,4.00755308,265.26,11.8972218,10.5681915,.,.,.,.,3.06876213,190.98,10.1053884,7.9839189
"30","19_601","Nodo 3 - Pies inventariados","IFN2",30,791.68,4.1,0,17.48,0.05,0,16.76,23.99,452.87,9.48,2.57,2.62,0.43,40.79,39.51,412.91,37.5,40.29,19.26,60.45,39.43,21.02,0.07,0,0,0,15.65,53.5,29.28,2.3,7.2,10.04,48.82,0.07,0,.,.,"IFN3","Ppi.ster_me__sim__v01",30,1202.5,26.13,16.63,27.08,576.73,8.99,2.53,2.67,0.6,39.11,33.2,619.22,32.08,18.12,90.17,59.24,30.93,0,0,28.42,80.16,44.1,3.82,10.87,16.01,74.8,18.00282582,877.12,62.8653376,51.563688,.,.,.,.,.,.,.,.
"31","19_602","Nodo 3 - Pies inventariados","IFN2",30,349.01,1.13,0,7.65,0.02,0,16.7,19.89,311.83,9.59,2.63,2.65,0.19,53.53,48.21,180.96,55.83,59.99,17.21,32.61,21.26,11.35,0.03,0,0,0,6.51,29.53,14.56,0.95,3.11,4.25,22.88,0.03,0,.,.,"IFN3","Ppi.ster_me__sim__v01",30,951.39,18.53,15.75,22.05,382.1,8.25,2.37,2.46,0.45,44.08,37.43,448.07,39.29,17.39,64.01,41.6,22.42,0,0,17.48,56.28,30.89,2.36,7.55,10.39,51.18,14.01722159,792.22,47.2642394,37.7983058,.,.,.,.,.,.,.,.
"32","19_603","Nodo 3 - Pies inventariados","IFN2",35,222.1,0.72,0,8.35,0.02,0,21.88,24.3,468.41,9.59,3.43,3.46,0.21,40.47,39.48,178.8,69.94,75.15,16.98,34.86,23.17,11.69,0.05,0,0,0,17.9,31.91,16.38,1.42,3.71,5.76,27.26,0.03,0,.,.,"IFN3","Ppi.ster_me__sim__v01",35,555.27,18.2,20.43,27.37,595.21,9.71,3.07,3.15,0.43,43.33,35.48,399.64,43.69,17.54,76.67,50.89,25.77,0,4.56,31.59,70.14,35.72,3.03,8,12.34,59.09,11.6112372,403.2,47.6434408,36.4973952,.,.,.,.,.,.,.,.
"33","19_604","Nodo 3 - Pies inventariados","IFN2",25,981.06,5.7,0,27.23,0.1,0,18.8,24.54,473.87,9.69,2.81,2.86,0.63,44.97,39.5,616.65,32.94,35.39,22.92,109.89,72.29,37.59,0.21,0,0,0,35.08,99.25,51.07,3.97,11.57,16.87,83.49,0.16,0,.,.,"IFN3","Ppi.ster_me__sim__v01",25,940.78,26.52,18.94,26.48,552.04,9.65,2.78,2.88,0.61,41.62,36.42,598.73,33.8,20.99,105.8,69.96,35.83,0,0,46.76,95.76,49.82,4.15,11.45,17.2,82.62,11.32956806,459.8,42.6474822,34.3814633,.,.,.,.,.,.,.,.
"34","19_606","Nodo 3 - Pies inventariados","IFN2",30,760.29,3.66,0,16.82,0.05,0,16.78,22.73,407.81,9.21,2.56,2.61,0.41,47.39,40.52,397.18,39.38,42.31,18.89,64.86,42.3,22.56,0.09,0,0,0,19.91,58.15,30.21,2.18,6.91,9.59,48.89,0.07,0,.,.,"IFN3","Ppi.ster_me__sim__v01",30,756.87,19.47,18.1,23.06,419.6,9.77,2.75,2.78,0.46,48.83,42.36,447.17,37.2,19.26,81.7,53.59,28.11,0,0,21.31,74.26,37.23,2.69,8.15,11.62,59.69,9.27521276,410.26,38.1121114,27.5711797,.,.,.,.,.,.,.,.
"35","19_609","Nodo 3 - Pies inventariados","IFN2",30,1402.83,11.88,0,37.95,0.2,0,18.56,26.96,571.97,10.85,2.69,2.76,0.84,46.23,40.23,863.37,24.62,26.45,21.97,159.02,104.84,54.17,0.39,0,0,0,54.47,144.82,73.1,5.62,16.16,23.7,118.57,0.3,0,.,.,"IFN3","Ppi.ster_me__sim__v01",30,1542.03,29.99,15.74,26.41,550.12,10.06,2.26,2.39,0.69,47.42,38.08,725.5,25.32,19.34,113.71,74.36,39.34,0,0,33.49,101.13,53.4,4.06,12.38,17.47,87.31,4.93178805,346.6,17.3461514,13.1821315,.,.,.,.,.,.,.,.
"36","19_611","Nodo 3 - Pies inventariados","IFN2",30,158.76,0.4,0,6.01,0.01,0,21.95,22.59,401.31,9.52,3.49,3.49,0.15,42.88,42.14,128.43,83.37,89.59,18.89,26.47,17.59,8.88,0.03,0,0,0,16.48,24.42,12.16,0.99,2.65,4.08,19.89,0.03,0,.,.,"IFN3","Ppi.ster_me__sim__v01",30,399.66,17.58,23.67,28.95,666.18,11.35,3.52,3.61,0.41,43.5,39.2,365.54,44.08,20.94,84.75,57,27.75,0,7.56,44.84,78.51,38.45,3.42,8.09,13.31,63.26,14.12312952,328.95,69.0320897,51.1109189,.,.,.,.,.,.,.,.
"37","19_613","Nodo 3 - Pies inventariados","IFN2",30,155.49,0.13,0,5.86,0,0,21.9,25.22,514.98,10.85,4.13,4.15,0.12,40.11,43.04,125.37,73.88,79.39,19.79,26.81,18.16,8.65,0.02,0,0,4.49,17.23,25.1,11.86,1.05,2.37,4.01,19.29,0.02,0,.,.,"IFN3","Ppi.ster_me__sim__v01",30,190.99,8.69,24.07,28.43,646.78,12.15,4.19,4.24,0.18,41.24,42.72,179.52,59.57,21.99,42.66,29.06,13.6,0,10.19,24.01,39.99,18.64,1.68,3.62,6.32,30.26,3.85354025,70.75,20.195729,14.6088845,.,.,.,.,.,.,.,.
"38","19_616","Nodo 3 - Pies inventariados","IFN2",35,707.39,3.5,0,31.27,0.11,0,23.72,27.87,610.33,11.11,3.49,3.52,0.69,44.03,39.87,649.47,33.83,36.36,20.04,151.47,101.59,49.88,0.35,0,0,0,90.58,140.63,68.26,5.79,14.23,22.96,111.23,0.27,0,.,.,"IFN3","Ppi.ster_me__sim__v01",35,679.06,31.44,24.28,30.55,733.71,11.92,3.51,3.58,0.68,46.05,39.03,647.43,32.18,20.06,162.48,109.52,52.96,0,13.84,93.9,151.26,72.04,6.18,14.53,24.04,116.79,10.56231249,215.78,53.9648472,39.5121434,.,.,.,.,.,.,.,.
"39","19_617","Nodo 3 - Pies inventariados","IFN2",35,519.76,3.68,0,18.51,0.09,0,21.3,26.9,569.03,9.69,3.22,3.29,0.44,38.33,36.03,400.27,45.26,48.63,18.02,72.63,48.25,24.38,0.11,0,0,0,39.64,66.06,34.95,3.18,8.23,12.85,59.2,0.1,0,.,.,"IFN3","Ppi.ster_me__sim__v01",35,417.34,18.75,23.92,29.47,684.98,9.35,3.63,3.69,0.45,35.62,31.73,388.34,52.36,17.02,74.54,49.87,24.67,0,4.73,40.48,68.15,36.28,3.61,8.61,14.12,62.62,6.22529338,148.56,24.5837875,20.4443098,.,.,.,.,.,.,.,.
"40","42_1858","Nodo 3 - Pies inventariados","IFN2",25,984.94,1.83,0,14.62,0.02,0,13.75,19.32,293.41,7.84,2.51,2.53,0.3,49.04,40.6,371.81,40.63,43.66,18.93,39.85,25.74,14.11,0.03,0,0,0,4.03,35.38,19.48,1.45,4.89,6.55,32.38,0.03,0,.,.,"IFN3","Ppi.ster_me__sim__v01",27,700.28,10.15,13.59,20.57,333.68,8.99,2.53,2.6,0.17,56.41,43.67,259.38,42.05,18.78,25.91,16.89,9.01,0,0,6.81,23.5,12.05,0.87,2.75,3.82,19.5,.,.,.,.,.,.,.,.,.,.,.,.
"41","42_1890","Nodo 3 - Pies inventariados","IFN2",30,832.76,1.92,0,23.74,0.04,0,19.05,29.79,699.59,9.88,3.34,3.41,0.5,46.48,33.15,534.92,35.09,37.7,20.83,96.08,64.18,31.9,0.12,0,0,7.09,43.57,88.4,44.57,3.97,9.8,15.74,74.08,0.08,0,.,.,"IFN3","Ppi.ster_me__sim__v01",32,399.66,.,18.87,30.37,733.01,11.96,4.27,4.33,0.21,51.68,39.36,252.74,41.84,20.8,48.56,33.12,15.44,0,12.86,24.41,45.41,21.72,2.08,4.37,7.73,35.91,.,.,.,.,0,0,0,0,.,.,.,.
"42","42_1902","Nodo 3 - Pies inventariados","IFN2",25,665.74,2.71,0,15.3,0.03,0,17.11,22.89,413.47,7.45,2.65,2.69,0.38,42.6,32.53,358.87,52.04,55.92,19.88,52.81,34.33,18.48,0.07,0,0,0,7.94,46.59,25.65,2.01,6.31,8.78,42.74,0.06,0,.,.,"IFN3","Ppi.ster_me__sim__v01",27,251.11,5.92,17.33,20.66,339.49,7.94,2.73,2.79,0.15,44.72,38.42,138.2,79.51,18.2,21.79,14.22,7.57,0,0,4.8,19.49,10.38,0.8,2.46,3.48,17.13,.,.,.,.,.,.,.,.,.,.,.,.
"43","42_1927","Nodo 3 - Pies inventariados","IFN2",30,190.69,0.29,0,6.87,0,0,21.42,24.86,494.08,11.01,3.8,3.83,0.15,47.3,44.28,148.27,65.77,70.68,21.48,28.8,19.37,9.43,0.02,0,0,4.76,16.87,26.75,12.99,1.13,2.72,4.44,21.28,0.02,0,.,.,"IFN3","Ppi.ster_me__sim__v01",32,155.62,4.77,19.76,21.03,356.74,10.7,3.39,3.43,0.08,53.99,50.9,106.1,74.9,19.66,17.22,11.5,5.71,0,0,10.25,16.06,7.51,0.58,1.5,2.33,11.92,.,.,.,.,.,.,.,.,.,.,.,.
"44","42_1928","Nodo 3 - Pies inventariados","IFN2",30,585.1,2,0,14.27,0.04,0,17.62,23.45,440.93,9.42,2.9,2.95,0.29,43.67,40.17,330.91,43.9,47.17,21.7,42.64,28.04,14.6,0.05,0,0,2.35,10.67,38.6,20.65,1.74,5.01,7.34,34.73,0.05,0,.,.,"IFN3","Ppi.ster_me__sim__v01",32,268.8,.,18.42,20.9,345.03,9.27,3.15,3.18,0.09,47.4,44.34,163.37,65.81,17.92,14.68,9.7,4.98,0,0,6.85,13.51,6.75,0.53,1.49,2.21,10.98,.,.,.,.,0,0,0,0,.,.,.,.
"45","42_1980","Nodo 3 - Pies inventariados","IFN2",27,1000.53,0.38,0,20.95,0,0,16.33,28.58,680.94,10.24,3.58,3.66,0.38,57.93,35.84,499.9,30.86,33.16,22.65,75.52,50.87,24.65,0.03,0,0,11.27,39.54,69.75,35.09,3.36,7.65,12.83,58.92,0.02,0,.,.,"IFN3","Ppi.ster_me__sim__v01",29,807.94,.,14.79,25.77,543.64,11.8,3.63,3.7,0.18,71.09,45.8,343.49,29.81,21.93,42.85,28.92,13.93,0,4.11,22.92,40.09,18.69,1.6,3.66,6.13,30.09,.,.,.,.,0,0,0,0,.,.,.,.
"46","44_1589","Nodo 3 - Pies inventariados","IFN2",35,31.76,0.08,0,1.99,0,0,28.25,8.97,199.13,3.11,4.63,4.63,0.05,34.62,34.62,38.77,571.21,613.8,16.8,8.9,6.02,2.88,0.01,0,0,0,6.29,8.22,4.24,0.44,0.95,1.65,7.28,0.01,0,.,.,"IFN3","Ppi.ster_me__sim__v01",36,14.15,0.8,26.82,3.79,79.93,1.13,4.54,4.54,0.02,29.66,29.66,15.86,2362.56,15.12,2.93,1.97,0.96,0,0,1.53,2.69,1.49,0.17,0.38,0.64,2.67,.,.,.,.,.,.,.,.,.,.,.,.
"47","44_1615","Nodo 3 - Pies inventariados","IFN2",35,833.91,0.77,0,15.03,0.01,0,15.15,29.87,741.02,9.02,3.3,3.51,0.28,46.43,30.2,368.66,38.39,41.25,17.59,47.67,32.02,15.66,0.02,0,0,9.37,13.45,43.8,23.14,2.47,5.44,9.29,40.34,0.02,0,.,.,"IFN3","Ppi.ster_me__sim__v01",35,908.95,.,17.02,29.41,697.95,8.46,3.9,4.01,0.22,47.19,28.77,486.05,39.19,15.92,35.79,24.11,11.69,0,8.07,14.82,32.77,17.95,2.05,4.43,7.69,32.13,10.95983905,597.71,9.458143,8.214641,0,0,0,0,.,.,.,.
"48","44_164","Nodo 3 - Pies inventariados","IFN2",42,667.23,4.75,0,33.89,0.18,0,25.43,33.43,880.3,12.2,3.66,3.74,0.73,42.65,36.51,686.08,31.72,34.09,19.05,169.71,114.79,54.92,0.48,0,0,30.24,88.13,157.96,76.7,7.11,15.93,27.09,126.81,0.35,0,.,.,"IFN3","Ppi.ster_me__sim__v01",43,601.25,25.28,23.14,31.64,788.97,10.8,3.38,3.5,0.58,39.95,34.13,529.96,37.76,16.51,110.08,73.9,36.18,0,12.39,53.44,101.4,51.84,4.96,11.63,19.24,87.68,.,.,.,.,.,.,.,.,0.87643905,63.66,3.3701604,2.3095848
"49","44_168","Nodo 3 - Pies inventariados","IFN2",40,952.1,2.83,0,19.25,0.03,0,16.04,18.29,262.73,6.61,2.51,2.51,0.47,40.88,36.13,462.31,49.05,52.71,12.37,60.61,39.06,21.55,0.08,0,0,0,0,52.95,30,2.24,7.71,10.22,50.17,0.07,0,.,.,"IFN3","Ppi.ster_me__sim__v01",41,477.46,9.23,15.69,18.71,275.04,7.09,2.49,2.52,0.24,40.55,37.88,223.52,64.58,12.82,28.67,18.48,10.19,0,0,0,24.91,14.26,1.08,3.69,4.91,23.95,.,.,.,.,.,.,.,.,.,.,.,.
"50","44_317","Nodo 3 - Pies inventariados","IFN2",40,759.57,0.84,0,21.36,0.02,0,18.92,26.18,538.44,11.42,3.48,3.5,0.34,52.21,43.62,482.43,31.77,34.14,18.7,72.34,48.45,23.89,0.07,0,0,0,41.05,67.24,32.21,2.63,6.61,10.52,51.97,0.05,0,.,.,"IFN3","Ppi.ster_me__sim__v01",41,512.83,.,19.36,25.72,523.27,11.48,3.23,3.27,0.17,56.87,44.65,338.14,38.46,17.54,32.59,21.68,10.9,0,0,18.44,30.04,14.63,1.15,3.07,4.71,23.55,.,.,.,.,0,0,0,0,.,.,.,.
